REGION,YEAR,PROT,STRAT,NTOT,GRID_SIZE
FLA KEYS,1994,0,FMLR,9220,200
FLA KEYS,1994,0,FSLR,871,200
FLA KEYS,1994,0,HRRF,396,200
FLA KEYS,1994,0,MCPR,6404,200
FLA KEYS,1995,0,FMLR,9220,200
FLA KEYS,1995,0,FSLR,871,200
FLA KEYS,1995,0,HRRF,396,200
FLA KEYS,1995,0,INPR,420,200
FLA KEYS,1995,0,MCPR,3797,200
FLA KEYS,1995,0,OFPR,2187,200
FLA KEYS,1996,0,FMLR,10091,200
FLA KEYS,1996,0,HRRF,396,200
FLA KEYS,1996,0,MCPR,6404,200
FLA KEYS,1997,0,FMLR,9220,200
FLA KEYS,1997,0,FSLR,871,200
FLA KEYS,1997,0,HRRF,396,200
FLA KEYS,1997,0,INPR,420,200
FLA KEYS,1997,0,MCPR,3797,200
FLA KEYS,1997,0,OFPR,2187,200
FLA KEYS,1998,0,FMLR,8824,200
FLA KEYS,1998,0,FSLR,871,200
FLA KEYS,1998,0,HRRF,249,200
FLA KEYS,1998,0,INPR,385,200
FLA KEYS,1998,0,MCPR,3711,200
FLA KEYS,1998,0,OFPR,2105,200
FLA KEYS,1998,1,FMLR,396,200
FLA KEYS,1998,1,HRRF,147,200
FLA KEYS,1998,1,INPR,35,200
FLA KEYS,1998,1,MCPR,87,200
FLA KEYS,1998,1,OFPR,82,200
FLA KEYS,1999,0,FMLR,8824,200
FLA KEYS,1999,0,FSLR,871,200
FLA KEYS,1999,0,HRRF,249,200
FLA KEYS,1999,0,INPR,385,200
FLA KEYS,1999,0,MCPR,3711,200
FLA KEYS,1999,0,OFPR,2105,200
FLA KEYS,1999,1,FMLR,315,200
FLA KEYS,1999,1,FSLR,82,200
FLA KEYS,1999,1,HRRF,147,200
FLA KEYS,1999,1,INPR,35,200
FLA KEYS,1999,1,MCPR,87,200
FLA KEYS,1999,1,OFPR,82,200
FLA KEYS,2000,0,FMLR,8824,200
FLA KEYS,2000,0,FSLR,871,200
FLA KEYS,2000,0,HRRF,249,200
FLA KEYS,2000,0,INPR,385,200
FLA KEYS,2000,0,MCPR,3711,200
FLA KEYS,2000,0,OFPR,2105,200
FLA KEYS,2000,1,FMLR,315,200
FLA KEYS,2000,1,FSLR,82,200
FLA KEYS,2000,1,HRRF,147,200
FLA KEYS,2000,1,INPR,35,200
FLA KEYS,2000,1,MCPR,87,200
FLA KEYS,2000,1,OFPR,82,200
FLA KEYS,2001,0,FDLR,2372,200
FLA KEYS,2001,0,FMLR,6452,200
FLA KEYS,2001,0,FSLR,871,200
FLA KEYS,2001,0,HRRF,249,200
FLA KEYS,2001,0,INPR,385,200
FLA KEYS,2001,0,MCPR,3711,200
FLA KEYS,2001,0,OFPR,2105,200
FLA KEYS,2001,1,FMLR,315,200
FLA KEYS,2001,1,FSLR,82,200
FLA KEYS,2001,1,HRRF,147,200
FLA KEYS,2001,1,INPR,35,200
FLA KEYS,2001,1,MCPR,87,200
FLA KEYS,2001,1,OFPR,82,200
FLA KEYS,2002,0,FDLR,2372,200
FLA KEYS,2002,0,FMLR,6452,200
FLA KEYS,2002,0,FSLR,871,200
FLA KEYS,2002,0,HRRF,249,200
FLA KEYS,2002,0,INPR,385,200
FLA KEYS,2002,0,MCPR,3711,200
FLA KEYS,2002,0,OFPR,2105,200
FLA KEYS,2002,1,FMLR,315,200
FLA KEYS,2002,1,FSLR,82,200
FLA KEYS,2002,1,HRRF,147,200
FLA KEYS,2002,1,INPR,35,200
FLA KEYS,2002,1,MCPR,87,200
FLA KEYS,2002,1,OFPR,82,200
FLA KEYS,2003,0,FDLR,2372,200
FLA KEYS,2003,0,FMLR,6452,200
FLA KEYS,2003,0,FSLR,871,200
FLA KEYS,2003,0,HRRF,249,200
FLA KEYS,2003,0,INPR,385,200
FLA KEYS,2003,0,MCPR,3711,200
FLA KEYS,2003,0,OFPR,2105,200
FLA KEYS,2003,1,FMLR,315,200
FLA KEYS,2003,1,FSLR,82,200
FLA KEYS,2003,1,HRRF,147,200
FLA KEYS,2003,1,INPR,35,200
FLA KEYS,2003,1,MCPR,87,200
FLA KEYS,2003,1,OFPR,82,200
FLA KEYS,2004,0,FDLR,2372,200
FLA KEYS,2004,0,FMLR,6452,200
FLA KEYS,2004,0,FSLR,871,200
FLA KEYS,2004,0,HRRF,249,200
FLA KEYS,2004,0,INPR,385,200
FLA KEYS,2004,0,MCPR,3711,200
FLA KEYS,2004,0,OFPR,2105,200
FLA KEYS,2004,1,FMLR,315,200
FLA KEYS,2004,1,FSLR,82,200
FLA KEYS,2004,1,HRRF,147,200
FLA KEYS,2004,1,INPR,35,200
FLA KEYS,2004,1,MCPR,87,200
FLA KEYS,2004,1,OFPR,82,200
FLA KEYS,2005,0,FDLR,2372,200
FLA KEYS,2005,0,FMLR,6452,200
FLA KEYS,2005,0,FSLR,871,200
FLA KEYS,2005,0,HRRF,249,200
FLA KEYS,2005,0,INPR,385,200
FLA KEYS,2005,0,MCPR,3711,200
FLA KEYS,2005,0,OFPR,2105,200
FLA KEYS,2005,1,FMLR,315,200
FLA KEYS,2005,1,FSLR,82,200
FLA KEYS,2005,1,HRRF,147,200
FLA KEYS,2005,1,INPR,35,200
FLA KEYS,2005,1,MCPR,87,200
FLA KEYS,2005,1,OFPR,82,200
FLA KEYS,2006,0,FDLR,2372,200
FLA KEYS,2006,0,FMLR,6452,200
FLA KEYS,2006,0,FSLR,871,200
FLA KEYS,2006,0,HRRF,249,200
FLA KEYS,2006,0,INPR,385,200
FLA KEYS,2006,0,MCPR,3711,200
FLA KEYS,2006,0,OFPR,2105,200
FLA KEYS,2006,1,FMLR,315,200
FLA KEYS,2006,1,FSLR,82,200
FLA KEYS,2006,1,HRRF,147,200
FLA KEYS,2006,1,INPR,35,200
FLA KEYS,2006,1,MCPR,87,200
FLA KEYS,2006,1,OFPR,82,200
FLA KEYS,2007,0,FDLR,2372,200
FLA KEYS,2007,0,FMLR,6452,200
FLA KEYS,2007,0,FSLR,871,200
FLA KEYS,2007,0,HRRF,249,200
