YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,DRY TORT,CEP CRUE,64114.68463044175,461964003.5160861,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,CEP FULV,962.0032115776784,924969.1774799788,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,DER INER,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,EPI FLAV,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,EPI ITAJ,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,EPI MORI,196775.83292179098,2257833868.500002,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,EPI NIVE,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,EPI STRI,962.0032115776784,924969.1774799788,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC ACUT,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC BONA,13015.337568403884,56950005.24099172,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC INTE,5941.784542097425,17407786.96771922,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC MICR,2886.0096347330355,7893064.643537522,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC PHEN,12709.760077667446,148257387.71927658,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC TIGR,1924.0064231553567,1269263.7327884955,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC VENE,962.0032115776784,924969.1774799788,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SRR SPE.,0.0,0.0,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,CEP CRUE,60523.00831364784,495284450.8247831,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,CEP FULV,12810.928084920026,164107672.00958073,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,EPI ITAJ,231.847604230455,53642.85816595533,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,EPI MORI,290111.44635404326,1235530914.5902562,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,EPI STRI,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,MYC BONA,18121.85576322231,172958900.53296342,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,MYC INTE,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,MYC MICR,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,MYC PHEN,19448.23973161049,369295904.8797226,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,MYC TIGR,231.847604230455,53642.85816595533,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,MYC VENE,6405.464042460013,41026918.00239518,22,44,1373.0,310783.6257638006,0
2004,DRY TORT,CEP CRUE,64543.89624565201,279485942.5361034,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,CEP FULV,1553.3687908997667,786250.6649437229,50,92,1441.0,326175.6771490434,0
