YEAR,protected_status,richness,shannon,simpson
1999,0,10,2.9634777277675095,2.0862523945220337
2000,0,8,2.6947838855927846,1.8748103113168884
2004,0,10,3.320780555405292,2.3396188085234715
2006,0,9,3.4186221802740246,2.4626189877230424
2008,0,10,3.05293967251355,2.2105634125145315
2010,0,7,4.065564826654828,3.233665356936279
2012,0,8,2.837159546971344,2.3665366822578644
2014,0,9,2.951794277506594,2.3962674795847976
2016,0,7,2.2504268913540977,2.000779209902889
1999,1,11,3.8654750145699066,2.819040200914962
2000,1,8,4.485975231793049,3.3299621108629074
2004,1,11,4.647261363166971,3.634718430723528
2006,1,11,4.28650583671949,3.1375467481968253
2008,1,12,4.101994834782959,3.0478575236254724
2010,1,10,3.663908572370386,2.7740684424622986
2012,1,11,3.408467265646775,2.6354136820762255
2014,1,11,3.5928184804316285,2.7969513947154496
2016,1,7,2.4349652737279412,2.1618246436407813
1999,2,9,3.255426472774223,2.3974309367493682
2000,2,11,4.231828535210288,3.4595135652427853
2004,2,11,4.326709382257185,3.4025393796471186
2006,2,13,3.624999381180114,2.982989930153866
2008,2,13,4.224047665195851,3.429189021911363
2010,2,10,4.652339996368945,3.7095659916126236
2012,2,11,3.706379664962725,2.9412920077530256
2014,2,10,3.46878934357926,2.709125998730185
2016,2,10,2.9772824731651277,2.357975305752267
1999,all,12,3.5167891364903707,2.509596434229838
2000,all,11,4.332684700052815,3.211895734090709
2004,all,11,4.400243142300464,3.3763887917811664
2006,all,14,4.131089048797586,3.19358816130827
2008,all,13,4.49610198272159,3.525694605990527
2010,all,11,4.656516632658949,3.5534629399477176
2012,all,11,3.693849126121411,2.8854278143233483
2014,all,12,3.5827405411674063,2.815856735438398
2016,all,10,2.7792084941015034,2.2612962846994065
