YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
1999,DRY TORT,BOD PULC,0.040423317140874396,0.0014128781083696147,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,BOD RUFU,0.08275503122831367,0.001649669277846133,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LAC MAXI,0.849028452463567,0.03412675107208417,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,BOD PULC,0.001492019430950729,2.2215477006345895e-6,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,BOD RUFU,0.1618147120055517,0.003996729248235329,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LAC MAXI,0.7247744621790424,0.025108613467706948,22,44,1373.0,310783.6257638006,0
2004,DRY TORT,BOD PULC,0.0212510805118278,8.494734375272279e-5,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,BOD RUFU,0.11751098773999537,0.0030084793646295727,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LAC MAXI,0.7107089375068484,0.03748023160379234,50,92,1441.0,326175.6771490434,0
2006,DRY TORT,BOD PULC,0.023548461716400647,1.5614565966845344e-4,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,BOD RUFU,0.1853111265325006,0.004151122382224167,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,LAC MAXI,0.16280360860513532,0.001825344352047265,35,68,1398.0,316442.46818484575,0
2008,DRY TORT,BOD PULC,0.008579900321746263,7.92498051910062e-6,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,BOD RUFU,0.2882434583826591,0.007321589080991246,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,LAC MAXI,0.5146507735641099,0.040865851725913394,49,98,1441.0,326175.6771490434,0
2010,DRY TORT,BOD PULC,0.01477458610092198,7.453545575396928e-5,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,BOD RUFU,0.2181520769307029,0.0022347515892571453,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,LAC MAXI,0.305194185585407,0.005768672996452982,51,100,1441.0,326175.6771490434,0
2012,DRY TORT,BOD PULC,0.015074408204179195,2.664357484308646e-5,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,BOD RUFU,0.17099429408589714,0.0019988148487826117,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,LAC MAXI,0.507418038819843,0.0169098503553652,57,112,1441.0,326175.6771490434,0
2014,DRY TORT,BOD PULC,0.034983741025594185,4.902784664911991e-4,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,BOD RUFU,0.13891756030130864,0.0015736506360054746,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,LAC MAXI,0.23056869873399222,0.005800518333470492,47,94,5762.0,326062.50030062255,0
2016,DRY TORT,BOD PULC,0.0021457196049351553,4.597531922668152e-6,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,BOD RUFU,0.09928291944085071,0.0016598234408595426,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,LAC MAXI,0.13734746683375632,0.003801158032208088,22,43,5591.0,316385.8797606353,0
1999,DRY TORT,BOD PULC,0.009221286351821881,2.248190611920131e-5,68,128,1942.0,439578.8792667886,1
1999,DRY TORT,BOD RUFU,0.2843411308910794,0.0033840951807412568,68,128,1942.0,439578.8792667886,1
1999,DRY TORT,LAC MAXI,0.5616313784267569,0.02269518945213738,68,128,1942.0,439578.8792667886,1
2000,DRY TORT,BOD PULC,0.005588538195916884,3.169373175645138e-5,61,109,1942.0,439578.8792667886,1
2000,DRY TORT,BOD RUFU,0.35172846781255335,0.0074455956040780456,61,109,1942.0,439578.8792667886,1
2000,DRY TORT,LAC MAXI,0.4023823226509965,0.004377928550130849,61,109,1942.0,439578.8792667886,1
2004,DRY TORT,BOD PULC,0.013351199950067097,2.3597577173621913e-5,61,122,1942.0,439578.8792667886,1
2004,DRY TORT,BOD RUFU,0.410485519458228,0.059797965337397375,61,122,1942.0,439578.8792667886,1
2004,DRY TORT,LAC MAXI,0.3468150415067254,0.001789582456837581,61,122,1942.0,439578.8792667886,1
2006,DRY TORT,BOD PULC,0.010552882326978165,1.9191037972992934e-5,63,118,1942.0,439578.8792667886,1
2006,DRY TORT,BOD RUFU,0.21074998485491003,0.004229638117625788,63,118,1942.0,439578.8792667886,1
2006,DRY TORT,LAC MAXI,0.3502941392829016,0.016134284876201638,63,118,1942.0,439578.8792667886,1
2008,DRY TORT,BOD PULC,0.012703632618668664,3.314016575999097e-5,76,150,1942.0,439578.8792667886,1
2008,DRY TORT,BOD RUFU,0.3106516536372999,0.002705252134990018,76,150,1942.0,439578.8792667886,1
2008,DRY TORT,LAC MAXI,0.4901021674000562,0.04662530283310259,76,150,1942.0,439578.8792667886,1
2010,DRY TORT,BOD PULC,0.003078031015388289,5.043400360826219e-6,85,162,1942.0,439578.8792667886,1
2010,DRY TORT,BOD RUFU,0.3194918954014239,0.0029445331931842404,85,162,1942.0,439578.8792667886,1
2010,DRY TORT,LAC MAXI,0.34902639804858493,0.004214524488711418,85,162,1942.0,439578.8792667886,1
2012,DRY TORT,BOD PULC,0.007810629123708423,1.0098237712108173e-5,91,176,1942.0,439578.8792667886,1
2012,DRY TORT,BOD RUFU,0.32845249883998595,0.0013919596910818622,91,176,1942.0,439578.8792667886,1
2012,DRY TORT,LAC MAXI,0.3638837128371114,0.0020491672367917583,91,176,1942.0,439578.8792667886,1
2014,DRY TORT,BOD PULC,0.018963237281565022,6.501759909128945e-5,73,146,7763.0,439295.93714573636,1
2014,DRY TORT,BOD RUFU,0.1960897606981278,7.190246299794443e-4,73,146,7763.0,439295.93714573636,1
2014,DRY TORT,LAC MAXI,0.36441796167508467,0.021052689596491182,73,146,7763.0,439295.93714573636,1
2016,DRY TORT,BOD PULC,0.0036514432366551394,4.227014512217164e-6,71,136,7763.0,439295.93714573636,1
2016,DRY TORT,BOD RUFU,0.1921236316819854,0.0010842005591506928,71,136,7763.0,439295.93714573636,1
