YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
1999,DRY TORT,AET NARI,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,ECH NAUC,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,NAR BANC,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,URO JAMA,0.001492019430950729,2.2238348414845633e-6,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,ECH NAUC,0.021356696738376132,4.253242120238058e-4,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,URO JAMA,0.001492019430950729,1.0158616727758997e-6,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,DAS AMER,0.041221374045801534,0.0016990753003945885,22,44,1373.0,310783.6257638006,0
2004,DRY TORT,AET NARI,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,ECH NAUC,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,NAR BANC,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,URO JAMA,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,DAS AMER,6.209138390737426e-4,4.1556637052377317e-7,50,92,1441.0,326175.6771490434,0
2006,DRY TORT,AET NARI,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,ECH NAUC,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,NAR BANC,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,URO JAMA,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,DAS AMER,0.0,0.0,35,68,1398.0,316442.46818484575,0
2008,DRY TORT,AET NARI,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,ECH NAUC,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,NAR BANC,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,URO JAMA,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,DAS AMER,0.0026812188505457068,3.6938617257768667e-6,49,98,1441.0,326175.6771490434,0
2010,DRY TORT,AET NARI,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,ECH NAUC,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,NAR BANC,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,URO JAMA,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,DAS AMER,0.0057313869336770105,1.5046721610929063e-5,51,100,1441.0,326175.6771490434,0
2012,DRY TORT,AET NARI,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,ECH NAUC,0.0,0.0,57,112,1441.0,326175.6771490434,0
