YEAR,protected_status,richness,simpson,shannon
1999,0,1,1.0,1.0
2000,0,3,1.9026222030199498,2.09071147306471
2004,0,1,1.0,1.0
2006,0,0,Inf,1.0
2008,0,1,1.0,1.0
2010,0,1,1.0,1.0
2012,0,0,Inf,1.0
2014,0,2,1.162086838680299,1.3066429074975308
2016,0,1,1.0,1.0
1999,1,1,1.0,1.0
2000,1,1,1.0,1.0
2004,1,2,1.779550181529533,1.8773489493064386
2006,1,2,1.1349508983692993,1.2667361240133248
2008,1,1,1.0,1.0
2010,1,1,1.0,1.0
2012,1,2,1.7441840847251482,1.8550400909539897
2014,1,1,1.0,1.0
2016,1,0,Inf,1.0
1999,2,3,2.4948135728567933,2.7096284981153973
2000,2,1,1.0,1.0
2004,2,4,2.727158618870868,3.205562713623768
2006,2,4,2.4848005517668104,2.801993904236426
2008,2,4,2.543813321227587,2.8982406916482923
2010,2,3,2.3773999313658063,2.650906103627715
2012,2,4,1.8368296196162992,2.285247100390472
2014,2,3,1.3756884800199765,1.7110207015281955
2016,2,4,1.960337807343321,2.5101032882589474
1999,all,3,2.443481667335428,2.6748828873357757
2000,all,3,2.148652475275729,2.3251352531060765
2004,all,4,2.8993649218384894,3.3425133714336748
2006,all,4,2.3798280249815407,2.7786979096763975
2008,all,4,2.7383696353895024,3.140062820103798
2010,all,3,2.326096774069242,2.61162382574586
2012,all,4,1.852273103852532,2.3024349796008563
2014,all,3,1.3666728446520822,1.6823327400307986
2016,all,4,1.9499658825394608,2.499435366723982
