YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,DRY TORT,LUT ANAL,60277.98946897311,368419052.354721,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LUT APOD,17033.11568734595,79833392.71403483,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LUT BUCC,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LUT GRIS,2007021.6414720896,3694552935096.494,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LUT JOCU,2008.8890594710342,4034630.8087326814,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LUT SPE.,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LUT SYNA,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,OCY CHRY,897962.0918987104,110719953049.10204,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,RHO AURO,0.0,0.0,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,LUT ANAL,64982.03084152194,459307280.09241796,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LUT APOD,349922.7364407511,112525207440.62212,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LUT GRIS,3105000.168339745,9479741042095.982,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LUT JOCU,231.847604230455,53642.85816595533,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LUT SYNA,12810.928084920026,73012813.89706229,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,OCY CHRY,750474.519479734,87887678740.8845,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LUT CYAN,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LUT MAHO,0.0,0.0,22,44,1373.0,310783.6257638006,0
2004,DRY TORT,LUT ANAL,38286.86741200244,533873831.12990636,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LUT APOD,33690.96077203312,524374277.48420113,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LUT BUCC,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LUT GRIS,24776.132936914073,210643016.11153114,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LUT JOCU,0.0,0.0,50,92,1441.0,326175.6771490434,0
