YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
1999,DRY TORT,LUT ANAL,0.18480222068008326,0.0034628919101542697,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LUT APOD,0.0522206800832755,7.503803292003052e-4,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LUT BUCC,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LUT GRIS,6.1531922276197095,34.72631881769298,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LUT JOCU,0.006158917418459403,3.792282266273124e-5,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LUT SPE.,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LUT SYNA,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,OCY CHRY,2.7530013879250523,1.0406932737486123,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,RHO AURO,0.0,0.0,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,LUT ANAL,0.2090909090909091,0.004755400191472379,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LUT APOD,1.1259368494101318,1.1650204910772037,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LUT GRIS,9.990874392782791,98.1477201006289,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LUT JOCU,7.460097154753645e-4,5.553869251586474e-7,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LUT SYNA,0.041221374045801534,7.559321705420507e-4,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,OCY CHRY,2.4147814018043023,0.9099378617041961,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LUT CYAN,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LUT MAHO,0.0,0.0,22,44,1373.0,310783.6257638006,0
2004,DRY TORT,LUT ANAL,0.11738112340764008,0.0050180558227016165,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LUT APOD,0.10329084334709084,0.004928766391931037,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LUT BUCC,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LUT GRIS,0.07595947421178438,0.001979903025538439,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LUT JOCU,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LUT SPE.,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LUT SYNA,0.03999415610504402,0.0011019411532635272,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,OCY CHRY,1.895462256149279,0.37432096296499406,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,RHO AURO,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LUT CYAN,0.0,0.0,50,92,1441.0,326175.6771490434,0
