Abundance,,,,,Simpson ,,,
Comparison,Z,P.unadj,P.adj,,Comparison,Z,P.unadj,P.adj
FMLR - OFPR,1.13E+00,2.59E-01,5.18E-01,,FMLR - FSLR,4.95E-01,6.20E-01,1.00E+00
INPR - MCPR,-1.47E+00,1.43E-01,4.28E-01,,HRRF - OFPR,3.06E-01,7.59E-01,7.59E-01
FDLR - HRRF,1.03E+00,3.05E-01,3.05E-01,,FDLR - INPR,-1.17E+00,2.43E-01,7.28E-01
FSLR - MCPR,2.34E+00,1.90E-02,7.62E-02,,FSLR - MCPR,-3.06E+00,2.25E-03,9.00E-03
FSLR - OFPR,-2.89E+00,3.88E-03,1.94E-02,,FMLR - MCPR,-3.25E+00,1.17E-03,5.84E-03
FSLR - INPR,2.98E+00,2.88E-03,1.73E-02,,FSLR - INPR,4.40E+00,1.06E-05,6.35E-05
INPR - OFPR,-4.89E+00,9.87E-07,6.91E-06,,FMLR - INPR,5.07E+00,4.03E-07,2.82E-06
MCPR - OFPR,-5.06E+00,4.21E-07,3.37E-06,,MCPR - OFPR,-5.20E+00,1.97E-07,1.57E-06
FMLR - FSLR,5.21E+00,1.93E-07,1.74E-06,,HRRF - MCPR,6.26E+00,3.83E-10,3.45E-09
FMLR - INPR,6.37E+00,1.90E-10,1.90E-09,,INPR - MCPR,-6.50E+00,8.02E-11,8.02E-10
FMLR - MCPR,8.36E+00,6.38E-17,7.02E-16,,FDLR - FSLR,-7.20E+00,6.13E-13,6.74E-12
FDLR - OFPR,1.11E+01,1.09E-28,1.31E-27,,FSLR - OFPR,-7.73E+00,1.12E-14,1.34E-13
HRRF - OFPR,1.17E+01,2.00E-31,2.60E-30,,FMLR - OFPR,-8.55E+00,1.25E-17,1.62E-16
FDLR - FMLR,1.27E+01,4.24E-37,5.94E-36,,FDLR - FMLR,-8.64E+00,5.56E-18,7.79E-17
FDLR - INPR,1.36E+01,5.51E-42,8.27E-41,,FSLR - HRRF,-9.05E+00,1.44E-19,2.15E-18
HRRF - INPR,1.39E+01,4.97E-44,7.95E-43,,INPR - OFPR,-9.71E+00,2.86E-22,4.58E-21
FMLR - HRRF,-1.45E+01,6.91E-48,1.17E-46,,FDLR - MCPR,-9.98E+00,1.93E-23,3.28E-22
FDLR - FSLR,1.48E+01,1.32E-49,2.38E-48,,HRRF - INPR,1.05E+01,7.78E-26,1.40E-24
FSLR - HRRF,-1.63E+01,1.98E-59,3.76E-58,,FMLR - HRRF,-1.05E+01,5.44E-26,1.03E-24
FDLR - MCPR,1.72E+01,4.80E-66,9.59E-65,,FDLR - OFPR,-1.35E+01,2.89E-41,5.77E-40
HRRF - MCPR,1.92E+01,4.16E-82,8.74E-81,,FDLR - HRRF,-1.50E+01,5.18E-51,1.09E-49
,,,,,,,,
Biomass ,,,,,Shannon,,,
Comparison,Z,P.unadj,P.adj,,Comparison,Z,P.unadj,P.adj
INPR - MCPR,-4.55E-01,6.49E-01,1.00E+00,,FMLR - MCPR,-1.60E+00,1.10E-01,2.20E-01
FMLR - INPR,-2.08E-01,8.35E-01,8.35E-01,,FDLR - FSLR,-1.23E+00,2.17E-01,2.17E-01
FMLR - MCPR,-1.21E+00,2.28E-01,6.85E-01,,FDLR - INPR,2.70E+00,6.91E-03,2.07E-02
