	ACBA	ACCO	APAU	APBI	APMA	APTO	BORU	CARO	CECR	CHCA	CHOC	COGL	CRRO	GNTH	GOGE	HAAL	HAGA	HAMA	HAPI	HAPO	HARA	HAsp	HOCI	MAMA	MATR	OCCH	PABA	POAR	PRHI	SACO	SCTA	SETI	SPAT	SPAU	SPRA	SPVI	STDI	STLE	STPA	STVA	THBI
A-02	0	0.47712126	0	0	0	0	0	0.30103001	0	0.30103001	0	0	0	0	0	0	0	0.30103001	0	0	0.30103001	0	0	0	0	0	0	0	0	0.60206002	0.30103001	0	0	0	0	0.69897002	0	0	0	0	0
A-05	0	0	0	0	0	0	0	0	0	0	0	0.90309	0	0.95424253	0	0	0	0	0	0.30103001	0	0	0	0.30103001	0	0	0	0	0	0	0	0	0	0.60206002	0	0.60206002	0	0	0	0	0
A-14	0	0.30103001	0	0.30103001	0	0	0	0.30103001	0	0	0	0.47712126	0.30103001	0.30103001	0	0.47712126	0	0	0	0	0	0	0	0.30103001	0	0	0	0	0	0.60206002	0	0	0	0	0	0.30103001	0	0.47712126	0	0	0.47712126
T-20	0	0	0	0	0	0	0	0	0	0	0.30103001	0	0.30103001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47712126	0	0.47712126	0	0.47712126	0	0	0.47712126
A-03	0.47712126	0.60206002	0	0	0	0	0	0	0	0.30103001	0	0.60206002	0	0.30103001	0	0	0	0	0	0	0.30103001	0.47712126	0	0.30103001	0	0	0	0	0	0.47712126	0	0	0	0	0.47712126	0.60206002	0	0	0.30103001	0	0.47712126
T-07	0	0.30103001	0	0	0	0	0	0	0	0	0	0.84509802	0.30103001	1.39794004	0.30103001	0	0	0	0	0	0	0	0	0.30103001	0	0	0	0	0	0	0.47712126	0	0	0	0	0.60206002	0	0.60206002	0	0.30103001	0
T-10	0	0	0	0	0	0	0	0	0	0	0	0.30103001	0	1.04139268	0	0	0	0	0	0	0	0.47712126	0	0	0	0	0	0	0.30103001	0	0	0	0	0.30103001	0	0.69897002	0	0.77815127	0	0	0.47712126
T-18	0	0	0	0	0	0	0	0	0	0	0	0.77815127	0.30103001	0.77815127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30103001	0.30103001	0	0.30103001	0	0.30103001	0	0.47712126	0	0.47712126	0	0	0.47712126
T-22	0.30103001	0	0	0	0	0	0	0	0	0	0.30103001	0.30103001	0	0.77815127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47712126	0	0.47712126	0	0.60206002	0.77815127	0	0
A-00	0	0	0	0.47712126	0	0	0	0	0	0.30103001	0	0.47712126	0	0	0.30103001	0	0	0	0	0.30103001	0.30103001	0.69897002	0	0.60206002	0	0	0	0	0	0	0.47712126	0	0.30103001	0	0	0.95424253	0	0	0	0.30103001	0.47712126
A-01	0	0.30103001	0	0	0.47712126	0	0	0.30103001	0	0	0	0.60206002	0	0.69897002	0	0	0	0.47712126	0	0	0	0.77815127	0.30103001	0	0	0.30103001	0	0	0	0	0.30103001	0	0	0	0	0.95424253	0	0.47712126	0	0	0.30103001
A-04	0	0.30103001	0	0	0.30103001	0	0	0	0	0	0	0.69897002	0	0.90309	0	0	0	0	0	0	0	0.47712126	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77815127	0	0	0	0	0.30103001
A-10	0	0	0	0	0	0	0	0	0	0	0	0.60206002	0.30103001	0.60206002	0	0	0.30103001	0.30103001	0	0	0	0.60206002	0	0	0	0	0.30103001	0	0	0	0.30103001	0	0	0.47712126	0	0.60206002	0	0	0	0	0.60206002
T-00	0	0	0	0	0	0	0	0	0	0	0	0.84509802	0.60206002	0.84509802	0	0	0	0.30103001	0	0	0	1.32221925	0	0	0	0	0	0	0	0	0	0	0	0.84509802	0	0.77815127	0	0.77815127	0	0	0.47712126
T-21	0	0	0	0.30103001	0	0	0	0	0	0	0	1.32221925	0	1.27875364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30103001	0	0.60206002	0.30103001	0.69897002	0.30103001	0	0
T-26	0	0	0	0	0	0	0	0.30103001	0.30103001	0	0	1.69019604	0	1.07918119	0.47712126	0	0.30103001	0.30103001	0.30103001	0	0.30103001	0.69897002	0	0.60206002	0	0	0	0	0	0	0	0	0	0.47712126	0	0.95424253	0	0.90309	0.30103001	0	0.60206002
