YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
1999,DRY TORT,ANC LYOL,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,ATH STIP,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,CHR ATHE,0.01873698820263706,3.5104600467183035e-4,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAR HUME,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAR JAGU,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HEM BRAS,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HYP HARR,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,INE VITT,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,JEN SPE.,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SAR AURI,0.0,0.0,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,ATH STIP,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,INE VITT,0.0,0.0,22,44,1373.0,310783.6257638006,0
2004,DRY TORT,ANC LYOL,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,ATH STIP,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,CHR ATHE,0.006209138390737426,4.155663705237732e-5,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAR HUME,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAR JAGU,43.39092004821213,1887.8868117462955,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HEM BRAS,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HYP HARR,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,INE VITT,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,JEN SPE.,13.01727601446364,169.9098130571666,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,SAR AURI,0.0,0.0,50,92,1441.0,326175.6771490434,0
2006,DRY TORT,ANC LYOL,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,ATH STIP,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,CHR ATHE,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAR HUME,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAR JAGU,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HEM BRAS,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HYP HARR,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,INE VITT,0.6134628730048578,0.3210742106120945,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,JEN SPE.,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,SAR AURI,0.0,0.0,35,68,1398.0,316442.46818484575,0
2008,DRY TORT,ANC LYOL,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,ATH STIP,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,CHR ATHE,0.026812188505457073,7.168384104622304e-4,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HAR HUME,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HAR JAGU,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HEM BRAS,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HYP HARR,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,INE VITT,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,JEN SPE.,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,SAR AURI,0.0,0.0,49,98,1441.0,326175.6771490434,0
2010,DRY TORT,ANC LYOL,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,ATH STIP,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,CHR ATHE,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,HAR HUME,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,HAR JAGU,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,HEM BRAS,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,HYP HARR,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,INE VITT,7.373351839000694e-4,5.55387172641474e-7,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,JEN SPE.,0.9325121443442055,0.8681494363181949,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,SAR AURI,0.0,0.0,51,100,1441.0,326175.6771490434,0
2012,DRY TORT,ANC LYOL,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,ATH STIP,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,CHR ATHE,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,HAR HUME,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,HAR JAGU,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,HEM BRAS,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,HYP HARR,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,INE VITT,0.11143881563728893,0.007927148180452703,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,JEN SPE.,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,SAR AURI,0.0,0.0,57,112,1441.0,326175.6771490434,0
2014,DRY TORT,ANC LYOL,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,ATH STIP,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,CHR ATHE,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,HAR HUME,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,HAR JAGU,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,HEM BRAS,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,HYP HARR,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,INE VITT,0.16581048247136412,0.012351234651499864,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,JEN SPE.,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,SAR AURI,0.0,0.0,47,94,5762.0,326062.50030062255,0
