YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,DRY TORT,ANI SURI,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,ANI VIRG,89025.81438266995,1802507784.721469,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE ALBU,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE AURO,1536805.7893377622,912396919222.9724,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE CARB,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE CHRY,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE FLAV,110686.95775564348,3994333159.1104355,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE MACR,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE MELA,279546.8155996313,36669590252.255974,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE PARR,12223.099629457562,149391941.4520161,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE PLUM,754753.7667493203,21195476948.257126,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE SCIU,123758.88374825781,6258039360.013698,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE SPE.,2011322.3617120835,4034636723609.2227,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAE STRI,556151.033140319,186954121356.2895,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,ANI SURI,463.69520846091,214571.43266382132,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,ANI VIRG,2144477.111231968,4531397428654.333,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE ALBU,16520.489752607307,177840243.70006528,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE AURO,3272895.576435841,6611784602187.462,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE CARB,620165.3822927193,382036759917.96155,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE CHRY,23184.7604230455,536428581.65955323,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE FLAV,159225.38605882713,9833656462.752779,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE MACR,1255643.490074148,1555494933902.9622,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE MELA,231.847604230455,53642.85816595533,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE PARR,169135.5231884917,28368978964.142483,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE PLUM,1184811.351079369,215661011739.02524,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE SCIU,125165.35545594843,14112552565.058699,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE SPE.,23184.7604230455,536428581.65955323,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,HAE STRI,0.0,0.0,22,44,1373.0,310783.6257638006,0
2004,DRY TORT,ANI SURI,405.0539838221803,176849.37606041392,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,ANI VIRG,20741.146642188713,121732774.40862405,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE ALBU,3943.31966603358,12638475.536288042,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE AURO,3248173.895047639,1788278542450.652,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE CARB,1012.6349595554509,1105308.6003775871,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE CHRY,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE FLAV,106208.1990815835,1377169459.6113782,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE MACR,2229.782469766218,3151831.996043969,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE MELA,1282868.842791746,1141687262207.1216,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE PARR,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE PLUM,831268.0671815813,81781629598.67715,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE SCIU,20443.312830554754,175279136.92180723,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE SPE.,1023225.2680442397,420579386047.46515,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAE STRI,530739.8523317098,282450035333.60187,50,92,1441.0,326175.6771490434,0
2006,DRY TORT,ANI SURI,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,ANI VIRG,19668.769650998856,82992538.44478428,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE ALBU,20386.127085236996,323628885.63863695,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE AURO,15475120.050364133,23670713283869.01,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE CARB,7795.772116975728,61784213.08778812,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE CHRY,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE FLAV,546296.9660676203,215827526565.83484,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE MACR,10760.361513572132,68544004.10576266,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE MELA,36709.66870106411,513724458.5974611,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE PARR,23387.316350927187,556057917.7900931,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE PLUM,775587.8259663505,72104753238.62897,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE SCIU,76479.08645836845,2258040404.8847637,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE SPE.,2763019.2775493045,933207654063.535,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAE STRI,44929.99929952771,1133595308.4643176,35,68,1398.0,316442.46818484575,0
2008,DRY TORT,ANI SURI,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,ANI VIRG,18715.33520705665,77327340.77166985,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HAE ALBU,1399.2773986584414,1511499.9546449822,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HAE AURO,244564.8201107914,19471628974.190018,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HAE CARB,6646.567643627596,20908783.600531444,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HAE CHRY,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HAE FLAV,134855.35929570728,2951809364.1508975,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HAE MACR,6121.838619130681,27402980.16100603,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HAE MELA,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HAE PARR,1399.2773986584414,1511499.9546449822,49,98,1441.0,326175.6771490434,0
