YEAR,protected_status,richness,simpson,shannon
1999,0,9,4.049721619568766,5.08898790707478
2000,0,13,4.316078637553923,5.390421308835131
2004,0,12,3.5143340499695612,4.474442003960113
2006,0,12,1.5806739024282268,2.158528990120829
2008,0,11,2.7696085210968997,3.9665365082352757
2010,0,12,2.173897438212966,3.177452863168824
2012,0,13,2.5227448040915395,3.3993929694522
2014,0,14,2.893657090489958,4.0450070807149094
2016,0,14,3.0791702538024883,3.8719159960644216
1999,1,14,1.2261136796417664,1.6013113707726445
2000,1,11,3.57756925912624,4.379201975111607
2004,1,11,1.2275754751209016,1.6046078441051121
2006,1,12,1.8515599756273762,2.2791211742006134
2008,1,12,2.9057793882025367,3.8661236957351095
2010,1,14,2.2018984760921794,2.9507951378460717
2012,1,14,3.6375740954760296,4.858496998695592
2014,1,13,3.55518454840086,4.354892668772829
2016,1,13,2.9736520286931434,3.7927318010927014
1999,2,11,2.1043289472662523,3.0075067313187223
2000,2,11,3.3059917825072787,3.904503321697942
2004,2,14,2.5963169916195943,3.2127878493898447
2006,2,14,2.3357618319375906,2.825897103933468
2008,2,14,3.014536834083633,3.3853209897913636
2010,2,13,3.2642874378491844,3.747962422519472
2012,2,14,1.8996027221752478,2.5536891966657387
2014,2,14,3.7177552496199606,4.454840883287557
2016,2,13,3.477024470743916,3.9582926601036656
1999,all,14,2.0039649302078537,2.9607755444653456
2000,all,13,4.024774707502227,5.257822616600499
2004,all,14,2.918525863809571,3.6645526263363104
2006,all,14,2.0675888234314246,2.589653177311616
2008,all,14,3.1665163575973607,3.6085550762515806
2010,all,14,3.2127963275872853,3.8566482309311305
2012,all,14,2.1710430678966013,2.9707810234629912
2014,all,14,4.131048425483075,4.983638658134658
2016,all,14,3.5991317064008372,4.133167088516495
