YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,DRY TORT,BOD PULC,13185.10284103524,150316910.62949607,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,BOD RUFU,26992.678348385445,175509258.68075782,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,LAC MAXI,276932.43040110834,3630764579.4703975,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,BOD PULC,463.69520846091,214571.43266382132,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,BOD RUFU,50289.36289901055,386029937.83040607,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,LAC MAXI,225248.03521701135,2425152141.6483755,22,44,1373.0,310783.6257638006,0
2004,DRY TORT,BOD PULC,6931.585576094273,9037596.522622801,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,BOD RUFU,38329.22599854593,320073841.54713124,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,LAC MAXI,231815.96894717345,3987543292.6491437,50,92,1441.0,326175.6771490434,0
2006,DRY TORT,BOD PULC,7451.73334749417,15635776.117287204,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,BOD RUFU,58640.310262058745,415676108.7162652,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,LAC MAXI,51517.97573640861,182782382.0794416,35,68,1398.0,316442.46818484575,0
2008,DRY TORT,BOD PULC,2798.5547973168827,843143.213397788,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,BOD RUFU,94018.00522174595,778948052.9380137,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,LAC MAXI,167866.56456255258,4347741355.247449,49,98,1441.0,326175.6771490434,0
2010,DRY TORT,BOD PULC,4819.110626065072,7929869.799049333,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,BOD RUFU,71155.90141434224,237756500.67161512,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,LAC MAXI,99546.92014527095,613732421.8712897,51,100,1441.0,326175.6771490434,0
2012,DRY TORT,BOD PULC,4916.9053036192445,2834625.1773693687,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,BOD RUFU,55774.17966209017,212655055.81091863,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,LAC MAXI,165507.42240970192,1799048657.8907542,57,112,1441.0,326175.6771490434,0
2014,DRY TORT,BOD PULC,11406.886068674705,52124815.16359434,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,BOD RUFU,45295.8070475072,167305427.71111178,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,LAC MAXI,75179.80640026649,616692281.3254274,47,94,5762.0,326062.50030062255,0
2016,DRY TORT,BOD PULC,678.875384927052,460213.059992389,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,BOD RUFU,31411.713812497837,166148367.7794144,22,43,5591.0,316385.8797606353,0
2016,DRY TORT,LAC MAXI,43454.79912709267,380496013.71814096,22,43,5591.0,316385.8797606353,0
1999,DRY TORT,BOD PULC,4053.482719931996,4344169.5265044365,68,128,1942.0,439578.8792667886,1
1999,DRY TORT,BOD RUFU,124990.35564655192,653907328.0094703,68,128,1942.0,439578.8792667886,1
1999,DRY TORT,LAC MAXI,246881.29188989545,4385382177.715574,68,128,1942.0,439578.8792667886,1
2000,DRY TORT,BOD PULC,2456.6033569007845,6124166.827651237,61,109,1942.0,439578.8792667886,1
2000,DRY TORT,BOD RUFU,154612.40568726693,1438709394.0529416,61,109,1942.0,439578.8792667886,1
2000,DRY TORT,LAC MAXI,176878.77042769236,845945343.5956184,61,109,1942.0,439578.8792667886,1
2004,DRY TORT,BOD PULC,5868.905510917299,4559750.188149386,61,122,1942.0,439578.8792667886,1
2004,DRY TORT,BOD RUFU,180440.7645986934,11554736390.60454,61,122,1942.0,439578.8792667886,1
2004,DRY TORT,LAC MAXI,152452.56725839112,345800286.3698885,61,122,1942.0,439578.8792667886,1
2006,DRY TORT,BOD PULC,4638.8241863273615,3708276.420256982,63,118,1942.0,439578.8792667886,1
2006,DRY TORT,BOD RUFU,92641.24214801402,817291243.959002,63,118,1942.0,439578.8792667886,1
2006,DRY TORT,LAC MAXI,153981.90515970223,3117621269.278148,63,118,1942.0,439578.8792667886,1
2008,DRY TORT,BOD PULC,5584.24858913139,6403660.678704633,76,150,1942.0,439578.8792667886,1
2008,DRY TORT,BOD RUFU,136555.9057482589,522734763.8596137,76,150,1942.0,439578.8792667886,1
