YEAR,protected_status,richness,simpson,shannon
1999,0,3,1.2959617621001056,1.584469360475115
2000,0,3,1.4301191902946269,1.627097728046217
2004,0,3,1.389383823077402,1.6738408427468687
2006,0,3,2.2497406334095333,2.419071858126834
2008,0,3,1.8920865946861567,2.022957364619768
2010,0,3,2.0544144523182597,2.195448878950645
2012,0,3,1.676047066686143,1.9290533458642447
2014,0,3,2.2202412640197053,2.457496884448777
2016,0,3,1.9847514961007449,2.065413562002689
1999,1,3,1.8451602741025452,1.99592285957998
2000,1,3,2.020415169533358,2.0735699467070345
2004,1,3,2.055335368638184,2.149203049467693
2006,1,3,1.9537012815312935,2.0994194319216537
2008,1,3,1.9643214048335318,2.0914206230715955
2010,1,3,2.0144422581351416,2.050847781256757
2012,1,3,2.0395200802298117,2.107213103079553
2014,1,3,1.9566700565209851,2.1603186121810443
2016,1,3,1.4240328984764603,1.6320009991447793
1999,2,3,1.1906359105618847,1.387247492617994
2000,2,2,1.347402592100375,1.5314442115345326
2004,2,3,1.356380699472847,1.6238122949962575
2006,2,3,1.3648963576829871,1.579613554201798
2008,2,3,1.3169879568547194,1.5388469923392303
2010,2,3,1.750044689795283,2.0440987510467443
2012,2,3,1.427569495540783,1.6497428122079776
2014,2,3,1.5908737112357856,1.7969503736001449
2016,2,3,1.3170200209045662,1.5408016374345377
1999,all,3,1.3683619952651747,1.6292579391102717
2000,all,3,1.5891450450754994,1.767691826953948
2004,all,3,1.6861612695677861,1.9316428501301053
2006,all,3,1.6458594135688647,1.8782336651500555
2008,all,3,1.6274770571932946,1.8429973287578914
2010,all,3,1.9182337552633832,2.123731515531744
2012,all,3,1.630215537051031,1.8415486134646748
2014,all,3,1.75861577421132,1.9958882216431608
2016,all,3,1.418494032480756,1.6400989383802147
