YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,DRY TORT,PTE VOLI,0.0,0.0,24,48,1441.0,326175.6771490434,0
2004,DRY TORT,PTE VOLI,0.0,0.0,50,92,1441.0,326175.6771490434,0
2006,DRY TORT,PTE VOLI,0.0,0.0,35,68,1398.0,316442.46818484575,0
2008,DRY TORT,PTE VOLI,0.0,0.0,49,98,1441.0,326175.6771490434,0
2010,DRY TORT,PTE VOLI,0.0,0.0,51,100,1441.0,326175.6771490434,0
2012,DRY TORT,PTE VOLI,22896.305195817753,192273738.174845,57,112,1441.0,326175.6771490434,0
2014,DRY TORT,PTE VOLI,22478.56018235539,133966092.11007577,47,94,5762.0,326062.50030062255,0
2016,DRY TORT,PTE VOLI,678.875384927052,207994.85044916847,22,43,5591.0,316385.8797606353,0
1999,DRY TORT,PTE VOLI,0.0,0.0,68,128,1942.0,439578.8792667886,1
2004,DRY TORT,PTE VOLI,0.0,0.0,61,122,1942.0,439578.8792667886,1
2006,DRY TORT,PTE VOLI,0.0,0.0,63,118,1942.0,439578.8792667886,1
2008,DRY TORT,PTE VOLI,0.0,0.0,76,150,1942.0,439578.8792667886,1
2010,DRY TORT,PTE VOLI,0.0,0.0,85,162,1942.0,439578.8792667886,1
2012,DRY TORT,PTE VOLI,20465.75084442749,28432802.11377535,91,176,1942.0,439578.8792667886,1
2014,DRY TORT,PTE VOLI,9090.144132196629,7911652.330285524,73,146,7763.0,439295.93714573636,1
2016,DRY TORT,PTE VOLI,1547.4757543704286,370343.5401917449,71,136,7763.0,439295.93714573636,1
1999,DRY TORT,PTE VOLI,0.0,0.0,78,151,4394.0,994598.1439228987,2
2004,DRY TORT,PTE VOLI,0.0,0.0,199,362,4394.0,994598.1439228987,2
2006,DRY TORT,PTE VOLI,0.0,0.0,155,298,4394.0,994598.1439228987,2
2008,DRY TORT,PTE VOLI,0.0,0.0,213,405,4394.0,994598.1439228987,2
2010,DRY TORT,PTE VOLI,11254.808815189832,107735287.75071353,228,441,4394.0,994598.1439228987,2
2012,DRY TORT,PTE VOLI,26502.538218478236,48682202.00349736,268,525,4394.0,994598.1439228987,2
2014,DRY TORT,PTE VOLI,49062.094301195306,183878262.94533652,238,464,17567.0,994088.8481050046,2
2016,DRY TORT,PTE VOLI,15706.32796059175,21760236.391733807,193,365,17567.0,994088.8481050046,2
1999,DRY TORT,PTE VOLI,0.0,0.0,170,327,7777.0,1760352.7003387308,all
2004,DRY TORT,PTE VOLI,0.0,0.0,310,576,7777.0,1760352.7003387308,all
2006,DRY TORT,PTE VOLI,0.0,0.0,253,484,7734.0,1750619.491374533,all
2008,DRY TORT,PTE VOLI,0.0,0.0,338,653,7777.0,1760352.7003387308,all
2010,DRY TORT,PTE VOLI,11254.808815189834,107735287.75071353,364,703,7777.0,1760352.7003387308,all
2012,DRY TORT,PTE VOLI,69864.59425872347,269388742.2921178,416,813,7777.0,1760352.7003387308,all
2014,DRY TORT,PTE VOLI,80630.79861574732,325756007.3856978,358,704,31092.0,1759447.2855513636,all
2016,DRY TORT,PTE VOLI,17854.701945590645,22106310.634250168,286,544,30921.0,1749770.6650113764,all
