YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
1999,DRY TORT,ALE CILI,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,CAR BART,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,CAR CRYS,0.023213046495489244,3.7106051824519143e-4,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,CAR LATU,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,CAR LUGU,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,CAR RUBE,0.20038167938931298,0.0100161669216079,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,DEC MACA,0.03730048577376822,0.0013898967759278518,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,DEC PUNC,1.4920194309507286,2.223834841484563,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,ELA BIPI,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,EUT ALLE,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,OLI SAUR,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,RAC CANA,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SCO CAVA,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SCO MACU,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SCO REGA,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SEL VOME,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SER DUME,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SER RIVO,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SER SPE.,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SPH BARR,0.12026370575988898,0.002099151832232079,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SPH GUAC,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SPH PICU,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,TRA FALC,0.0,0.0,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,CAR BART,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,CAR CRYS,0.012317834836918807,1.5171017286026776e-4,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,CAR RUBE,0.20069396252602362,0.027713588453357033,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,DEC MACA,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,DEC PUNC,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,ELA BIPI,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,SCO CAVA,0.020610687022900767,4.2476882509864713e-4,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,SCO MACU,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,SCO REGA,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,SER DUME,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,SER RIVO,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,SPH BARR,0.03284177654406662,6.120066087133972e-4,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,TRA FALC,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,CAR SPE.,0.0,0.0,22,44,1373.0,310783.6257638006,0
2004,DRY TORT,ALE CILI,0.004967310712589941,1.1844076316907086e-5,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,CAR BART,0.10047846889952153,0.0031441345027605266,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,CAR CRYS,2.739171546724781,4.441443790327812,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,CAR LATU,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,CAR LUGU,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,CAR RUBE,0.7958390656261287,0.09847416833237758,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,DEC MACA,0.37967055042185616,0.14454133402432576,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,DEC PUNC,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,ELA BIPI,0.43390920048212134,0.18878868117462963,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,EUT ALLE,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,OLI SAUR,0.0,0.0,50,92,1441.0,326175.6771490434,0
