YEAR,protected_status,richness,simpson,shannon
1999,0,11,3.0444125744831716,4.273967027600942
2000,0,11,3.1143390726783307,4.306276743788012
2004,0,13,3.4609150059615863,4.563567981644211
2006,0,12,3.997323462654209,4.989474815468947
2008,0,13,4.563245714946616,5.701512376408057
2010,0,14,4.110690206985186,5.417890394324291
2012,0,13,3.981265088393703,5.538671383312514
2014,0,15,3.833280141433098,4.880835208639576
2016,0,14,3.3685712774028436,4.7285697542486975
1999,1,13,2.8253740328965415,3.9943591742641082
2000,1,14,2.2372437605202005,3.2909781316079996
2004,1,12,1.4429681717243645,1.9274998607055593
2006,1,14,2.350033856350484,3.5256932421099676
2008,1,12,2.3697184081267353,3.334503831310649
2010,1,15,3.0096338596100307,4.378833113552462
2012,1,13,2.667312738120284,3.9188063232234316
2014,1,14,3.34441575359486,4.650926781106044
2016,1,14,3.2499659757440975,4.451618309658269
1999,2,14,1.6220827179543598,2.35795730625983
2000,2,14,2.1728190710047826,3.2273989512318417
2004,2,15,2.685267429337946,3.8890123001542376
2006,2,15,2.1948986088271,3.465894250300232
2008,2,15,2.156876831609287,3.4521749252497487
2010,2,15,2.1617210719493514,3.317931413978786
2012,2,15,1.9999321502580691,3.157309382187176
2014,2,15,2.457467576437313,3.8145932459899985
2016,2,15,2.1134138302901246,3.2989610955109936
1999,all,14,1.8594414786323972,2.7987511924133264
2000,all,15,2.288504269773955,3.4211354858949914
2004,all,15,2.1578457947219283,3.1901397650369403
2006,all,15,2.4669074683933285,3.83990211543593
2008,all,15,2.4366935214442624,3.773259621004194
2010,all,16,2.549657241121694,3.899916866046524
2012,all,15,2.3027915628065583,3.6349215132719506
2014,all,15,2.8329287991284677,4.2591370347333015
2016,all,15,2.5080632549572135,3.824236464515159
