YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,DRY TORT,AET NARI,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,ECH NAUC,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,NAR BANC,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,URO JAMA,486.6604482098844,236595.06162774065,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,ECH NAUC,6637.3116466904685,41080560.86056113,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,URO JAMA,463.69520846091,98118.48489840029,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,DAS AMER,12810.928084920026,164107672.00958073,22,44,1373.0,310783.6257638006,0
2004,DRY TORT,AET NARI,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,ECH NAUC,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,NAR BANC,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,URO JAMA,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,DAS AMER,202.52699191109016,44212.34401510348,50,92,1441.0,326175.6771490434,0
2006,DRY TORT,AET NARI,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,ECH NAUC,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,NAR BANC,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,URO JAMA,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,DAS AMER,0.0,0.0,35,68,1398.0,316442.46818484575,0
2008,DRY TORT,AET NARI,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,ECH NAUC,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,NAR BANC,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,URO JAMA,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,DAS AMER,874.5483741615258,392992.0632375328,49,98,1441.0,326175.6771490434,0
2010,DRY TORT,AET NARI,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,ECH NAUC,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,NAR BANC,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,URO JAMA,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,DAS AMER,1869.4390140952785,1600829.3243830493,51,100,1441.0,326175.6771490434,0
2012,DRY TORT,AET NARI,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,ECH NAUC,0.0,0.0,57,112,1441.0,326175.6771490434,0
