YEAR,protected_status,richness,simpson,shannon
1999,0,14,5.221770009113349,7.104415051649937
2000,0,11,4.763371437269059,5.882836570850892
2004,0,12,5.315821979160873,6.811953779042054
2006,0,16,5.650812512458406,7.803747072996495
2008,0,15,5.358900241932065,7.006493027941017
2010,0,12,3.8794507135824094,5.040500548426094
2012,0,14,5.3491794082402135,6.727792058380297
2014,0,18,4.720086398109185,6.587407156741058
2016,0,11,4.734338651896773,5.478936218981646
1999,1,15,7.687137345942762,9.27866840068387
2000,1,14,6.523679985497927,8.79836731252582
2004,1,14,5.119343690212706,6.358272406315462
2006,1,15,6.457518528495713,8.126118876141454
2008,1,15,3.8115550260301636,5.295448382675693
2010,1,15,4.3336442519924505,5.713016769795046
2012,1,15,6.2368523548266035,8.101167227092926
2014,1,13,5.025970213733576,6.776494846418805
2016,1,12,4.862246773760428,6.368777722844363
1999,2,13,7.152276540271294,8.444156634930865
2000,2,14,6.774059417945972,8.243354063241249
2004,2,18,5.942112061116908,7.271917331606698
2006,2,18,5.217888241659448,6.741255734616879
2008,2,15,4.4381686194173415,6.087610855314125
2010,2,16,3.8675048121649667,5.576003027659585
2012,2,17,4.909761001341761,6.972599561552819
2014,2,16,3.364619548306665,5.423815582366645
2016,2,20,4.377151339524222,5.762307202745906
1999,all,16,7.72267755277469,9.194287921069437
2000,all,15,7.470724009723646,9.31460574697618
2004,all,18,6.022990225528357,7.4080089227348385
2006,all,21,6.804957781199871,8.956200027998412
2008,all,19,4.986738324554645,7.083530595760186
2010,all,18,4.6044910095971385,6.205316650261823
2012,all,19,5.736776763922607,7.932854835516325
2014,all,20,4.929110117034163,7.319745656782169
2016,all,20,4.921995686799817,6.5038213215381315
