YEAR,protected_status,richness,simpson,shannon
1999,0,1,1.0,1.0
2000,0,0,Inf,1.0
2004,0,4,2.3897547693720544,2.8025015477907127
2006,0,3,2.1678069200285535,2.5108144337171217
2008,0,2,1.7999999999999996,1.8898815748423097
2010,0,1,1.0,1.0
2012,0,2,1.4070250921411385,1.5909943013042278
2014,0,2,1.0536203447487744,1.1286421560517568
2016,0,3,2.07215349276117,2.1607549021389314
1999,1,1,1.0,1.0
2000,1,0,Inf,1.0
2004,1,4,1.8761064820259163,2.3489469853196723
2006,1,1,1.0,1.0
2008,1,4,3.489823346033944,3.715254768803601
2010,1,2,1.9441515206606719,1.971341764246921
2012,1,4,2.2527300340473824,2.5513383169104795
2014,1,2,1.8150249361269877,1.898924543288748
2016,1,4,1.3016438240414485,1.6771016262493759
1999,2,1,1.0,1.0
2000,2,3,1.3340571500533172,1.6436265170944102
2004,2,3,1.1291838701311416,1.3075888763224033
2006,2,2,1.0756500867493748,1.169582033855125
2008,2,3,1.9164516407476107,2.28280045673326
2010,2,4,1.2402160753613827,1.5429817230918796
2012,2,3,1.338735972003315,1.5778839001433316
2014,2,3,2.032682471448481,2.1425138612935664
2016,2,4,2.4645489428515703,3.017496870310626
1999,all,1,1.0,1.0
2000,all,3,1.3340571500533174,1.6436265170944102
2004,all,6,1.9390784707802562,2.664328905797678
2006,all,4,1.530582442185262,1.9988896394962563
2008,all,4,3.3045038587587383,3.627738194190561
2010,all,4,1.7927513313171297,2.0060143856710484
2012,all,5,2.0788091131826563,2.3437239515809583
2014,all,3,1.8760958016167053,2.001171609454439
2016,all,6,3.7013234319588335,4.086178950328511
