YEAR,protected_status,richness,simpson,shannon
1999,0,5,1.840705577825831,2.098856043675671
2000,0,6,1.7759733086776053,2.28068005869884
2004,0,5,1.3745584663576993,1.8645557736456317
2006,0,5,2.7721376405945604,3.5113843946664005
2008,0,10,1.4519486371827324,1.9834544522580213
2010,0,7,1.567514668921073,2.114408924622171
2012,0,9,1.5649795292006397,2.0051492759132823
2014,0,9,1.7604782352879624,2.447467523020484
2016,0,6,2.79367491045793,3.429947452114364
1999,1,5,1.6295626871690114,2.1750559963407423
2000,1,7,1.3742245579500545,1.7436772468642683
2004,1,7,1.2481952149778792,1.6093563503317267
2006,1,9,1.1954608628045822,1.5064023938891102
2008,1,9,1.136337641078757,1.3880088378354174
2010,1,7,1.2892946308567292,1.686781833478177
2012,1,9,1.782205927136123,2.258191387160135
2014,1,8,1.2490330116649444,1.5685777344739062
2016,1,9,1.2348791680731255,1.5869374051755092
1999,2,7,2.21847826094557,2.789932994428189
2000,2,8,1.4811408903067393,1.8242483545535833
2004,2,7,1.7650821083406185,2.022252992646569
2006,2,8,1.5426260388545343,1.9752418816743853
2008,2,8,2.089946958367265,2.2333536746029656
2010,2,9,1.3648329012535345,1.7742379157373591
2012,2,8,1.6662414306346318,2.020213363054175
2014,2,7,1.3819734184686203,1.7584020340455473
2016,2,8,1.577596499034022,1.956535824340378
1999,all,7,2.2710339144252814,2.752864921522261
2000,all,8,2.0159509024847604,2.368689649482126
2004,all,7,1.67077803603578,2.0219518056958767
2006,all,9,1.578962385504584,2.170791391815995
2008,all,10,2.0346163998307984,2.2676060804958498
2010,all,9,1.3691537723835063,1.8348330600040665
2012,all,9,1.685607393011597,2.091029779445409
2014,all,9,1.3727089061790132,1.7780717746461128
2016,all,9,1.5459649612629642,1.991909027340664
