Ecological_classification,Sanctuary_Classifcation_level,Icons,Latin_Name,Common_Name,RVC_CODE,Trophic_Level,Tier_3_ Representative_Species,Dataset ,Metric ,Lead
spp/population level,Focal - trophic group ,Forage fish ,Hypoatherina harringtonensis,reef silverside,HYP HARR,2,yes,RVC,"abundance, density, simpson, shannon",
spp/population level,Focal - trophic group ,Forage fish ,Atherinomorus stipes,hardhead silverside,ATH STIP,2,,RVC,,
spp/population level,Focal - trophic group ,Forage fish ,Jenkinsia sp.,herring species,JEN SPE.,2,,RVC,,
spp/population level,Focal - trophic group ,Forage fish ,Harengula jaguana,scaled sardine,HAR JAGU,2,,RVC,,
spp/population level,Focal - trophic group ,Forage fish ,Anchoa lyolepis,dusky anchovy,ANC LYOL,2,,RVC,,
spp/population level,Focal - trophic group ,Forage fish ,Inermia vittata,boga,INE VITT,2,,RVC,,
spp/population level,Focal - trophic group ,Forage fish ,Hemiramphus brasiliensis,ballyhoo,HEM BRAS,2,,RVC,,
spp/population level,Focal - trophic group ,Forage fish ,Sardinella aurita,Spanish sardine,SAR AURI,2,,RVC,,
spp/population level,Focal - trophic group ,Forage fish ,Harengula humeralis,redear sardine,HAR HUME,2,,RVC,,
spp/population level,Focal - trophic group ,Forage fish ,Chriodorus atherinoides,hardhead halfbeak,CHR ATHE,2,,RVC,,
spp/population level,Focal - trophic group - herbivores,Parrotfish,Scarus iseri,striped parrotfish,SCA ISER,2,yes (? srg),RVC,"abundance, density, simpson, shannon",
spp/population level,Focal - trophic group - herbivores,Parrotfish,Scarus coelestinus,midnight parrotfish,SCA COEL,2,yes (? srg),RVC,,
spp/population level,Focal - trophic group - herbivores,Parrotfish,Sparisoma aurofrenatum,redband parrotfish,SPA AURO,2,,RVC,,
spp/population level,Focal - trophic group - herbivores,Parrotfish,Sparisoma viride,stoplight parrotfish,SPA VIRI,2,srg,RVC,,
spp/population level,Focal - trophic group - herbivores,Parrotfish,Sparisoma atomarium,greenblotch parrotfish,SPA ATOM,2,srg,RVC,,
spp/population level,Focal - trophic group - herbivores,Parrotfish,Scarus taeniopterus,princess parrotfish,SCA TAEN,2,,RVC,,
spp/population level,Focal - trophic group - herbivores,Parrotfish,Sparisoma rubripinne,yellowtail parrotfish,SPA RUBR,2,,RVC,,
spp/population level,Focal - trophic group - herbivores,Parrotfish,Sparisoma chrysopterum,redtail parrotfish,SPA CHRY,2,,RVC,,
spp/population level,Focal - trophic group - herbivores,Parrotfish,Scarus vetula,queen parrotfish,SCA VETU,2,,RVC,,
spp/population level,Focal - trophic group - herbivores,Parrotfish,Scarus coeruleus,blue parrotfish,SCA COER,2,,RVC,,
spp/population level,Focal - trophic group - herbivores,Parrotfish,Scarus guacamaia,rainbow parrotfish,SCA GUAC,2,,RVC,,
spp/population level,Focal - trophic group - herbivores,Parrotfish,Cryptotomus roseus,bluelip parrotfish,CRY ROSE,2,,RVC,,
