	ACCH	ACCO	APAU	APBI	APMA	APTO	BORU	CARO	CHCA	CHCY	CHOC	COGL	CRRO	GNTH	GOGE	HAGA	HAMA	HAPI	HAPO	HARA	HAsp	MAMA	MUMA	PABA	PRHI	PTVO	SACO	SCTA	SETI	SPAT	SPAU	SPRA	SPVI	STLE	STPA	STVA	SYSP	THBI	XYSP
A-02	0	0	0	0	0	0	0	0	0	0	0	0	0.47712126	0	0.30103001	0	0	0	0	0.47712126	0.69897002	0.47712126	0	0	0	0	0	0.60206002	0	0	0.69897002	0	0.69897002	0	0	0	0	0.84509802	0.30103001
A-05	0	0	0	0	0.30103001	0	0	0.30103001	0	0	0	0.30103001	0.30103001	0	0	0	0	0	0.30103001	0	0.30103001	0	0	0	0	0	0	0	0	0	0.30103001	0	0.60206002	0.60206002	0.30103001	0	0	0.30103001	0
A-14	0	0	0	0	0	0	0	0	0	0	0	0.60206002	0	0	0	0	0.77815127	0	0	0.30103001	0.30103001	0.60206002	0	0	0	0	0	0	0	0	0.30103001	0	0.60206002	0.60206002	0.47712126	0	0	0.77815127	0
T-20	0	0	0	0	0	0	0	0	0	0	0	0.90309	0	0	0	0	0.47712126	0	0	0	0	0.30103001	0	0	0	0	0	0	0	0.30103001	0.30103001	0.30103001	0.47712126	0.77815127	0	0	0	0	0
A-03	0	0	0	0	0	0	0	0	0	0	0	0	0.69897002	0	0	0.30103001	0.60206002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47712126	0	0.84509802	0	0	0	0	1.04139268	0
T-07	0	0	0	0	0	0	0	0	0	0	0	1.39794004	0	1.27875364	0.47712126	0	0.30103001	0	0	0.30103001	0	0.69897002	0	0.30103001	0.30103001	0	0	0.30103001	0	0	0.30103001	0	0.60206002	0.47712126	0	0.30103001	0	0.60206002	0
T-10	0	0.30103001	0	0.30103001	0.30103001	0	0	0	0.30103001	0	0	1.23044896	0.30103001	0.77815127	0	0	0	0	0	0.47712126	0.60206002	1.07918119	0	0	0	0	0	0.47712126	0	0	0.47712126	0	0.90309	1.07918119	0.30103001	0	0	0.30103001	0
T-18	0	0	0	0	0	0	0	0	0	0	0	0.95424253	0.47712126	0.30103001	0	0.30103001	0	0	0	0	0	0.69897002	0	0	0.30103001	0	0.30103001	0.30103001	0	0	0	0	0.47712126	0.77815127	0	0	0.30103001	0.30103001	0
T-22	0	0	0	0	0	0	0	0	0	0	0.30103001	0.77815127	0	0.69897002	0	0	0.47712126	0	0	0.30103001	0	0.90309	0.30103001	0.30103001	0	0.30103001	0.47712126	0.30103001	0	0	0.30103001	0	0.30103001	0.77815127	0.77815127	0	0	0.69897002	0
A-00	0	0	0	0	0	0	0.30103001	0	0	0	0	0	0.47712126	0.60206002	0	0.30103001	0.30103001	0	0.30103001	0.30103001	0	0.47712126	0	0	0	0	0	0.84509802	0	0	0.47712126	0	0.60206002	0	0	0	0	0.60206002	0
