YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
2004,FLA KEYS,ABU SAXA,5244155.262303741,4200341180177.627,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ACA ASPE,3285.901165820227,10795503.520955818,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ACA BAHI,17019983.659527443,3205509312941.9106,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ACA CHAP,3285.901165820227,10795503.520955818,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ACA CHIR,11142981.375279285,4181474729310.228,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ACA COER,14870410.400288645,6248617910011.123,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ACA MARI,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ACA POLY,33983.9881865643,541229327.9922695,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ACA QUAD,23005.228665948325,276523804.6428377,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ACA SOLA,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ACA SPE.,16429.505829101134,269887588.0238955,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ACA SPIN,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,AET NARI,14914.19358079904,223097161.09084737,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,AHL EGMO,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ALB VULP,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ALE CILI,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ALP AFER,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ALU MONO,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ALU SCHO,29742.978187500663,788367802.4349642,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ALU SCRI,272870.31472545967,8560610955.618959,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ALU SPE.,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,AMB PINO,56170.54046243604,3158560736.617958,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ANC LYOL,38181753.13545203,1453524982009545.7,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ANI SURI,191098.15830561906,3735942663.1030393,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ANI VIRG,12411434.573379537,40767507766865.58,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,ANT OCEL,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,APO AURO,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,APO BINO,19090.876567726016,364615688.7320211,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,APO MACU,0,0,90,170,16145,3654480.4355109693,0
2004,FLA KEYS,APO PHEN,0,0,90,170,16145,3654480.4355109693,0
