YEAR,REGION,STRAT,PROT,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
2000,DRY TORT,CONT_LR,0,ABU SAXA,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ACA ASPE,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ACA BAHI,551261.7932885359,64019811203.986664,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ACA CHAP,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ACA CHIR,470589.3357341161,43536119121.64779,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ACA COER,477312.04053031775,11043545657.548359,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ACA POLY,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ACA QUAD,6722.704796201659,45191398.42447469,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ALU SCHO,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ALU SCRI,20168.114388604976,206039511.0085851,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ANI SURI,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ANI VIRG,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,APO BINO,6722.704796201659,45191398.42447469,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,APO MACU,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,APO PSEU,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,APO QUAD,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,AST PUNC,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ATH STIP,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,AUL MACU,13445.409592403317,80424056.29205523,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,BAL CAPR,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,BLE SPE.,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,BOD PULC,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,BOD RUFU,47058.93357341161,408230849.4940762,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAL BAJO,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAL CALA,248740.07745946138,4604476256.453856,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAN MACR,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAN PULL,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAN ROST,80672.4575544199,584394138.8319789,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAN SUFF,33613.52398100829,722385756.2932771,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAR BART,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAR CRYS,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAR HIPP,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAR LEUC,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAR LIMB,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAR RUBE,53781.63836961327,2892249499.16638,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CAR SPE.,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CEP CRUE,53781.63836961327,481036074.07852733,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CEP FULV,13445.409592403317,180765593.69789875,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CHA CAPI,147899.5055164365,2982787322.6924973,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CHA FABE,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CHA LIMB,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CHA OCEL,208403.8486822514,3338362968.731663,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CHA SEDE,262185.4870518647,7656065604.530543,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CHA STRI,20168.114388604976,206039511.0085851,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CHI SCHO,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CHR CYAN,773111.0515631908,154687739384.78894,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CHR ENCH,13445.409592403317,180765593.69789875,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CHR INSO,33613.52398100829,327052661.3651189,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CHR MULT,6722.704796201659,45191398.42447469,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CHR SCOT,994960.3098378455,388802493736.9327,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CLE PARR,53781.63836961327,2892249499.16638,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,COR DICR,20168.114388604976,105697973.6027416,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,COR EIDO,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,COR GLAU,1183196.044131492,70840681330.04295,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,COR PERS,752942.9371745858,194269369826.95618,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,COR SPE.,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,CRY ROSE,94117.86714682322,726833033.976105,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,DAS AMER,13445.409592403317,180765593.69789875,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,DEC MACA,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,DEC PUNC,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,DIO HOLO,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,DIO HYST,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,DIP FORM,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,DIP HOLB,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ECH NAUC,6722.704796201659,45191398.42447469,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ELA BIPI,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ELA OCEA,53781.63836961327,1186443363.2670398,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,ELA XANT,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,EMB PAND,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,EPI ADSC,6722.704796201659,45191398.42447469,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,EPI GUTT,26890.819184806634,320187961.49441695,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,EPI ITAJ,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,EPI MORI,275630.89664426795,957314817.1198905,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,EPI STRI,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,EQU LANC,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,EQU PUNC,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,GIN CIRR,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,GNA THOM,13445.409592403317,80424056.29205523,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,GOB SPE.,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,GYM FUNE,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,GYM MILI,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,GYM MORI,13445.409592403317,180765593.69789875,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAE ALBU,13445.409592403317,180765593.69789875,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAE AURO,3368075.1028970312,7279253931004.908,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAE CARB,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAE CHRY,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAE FLAV,53781.63836961327,2892249499.16638,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAE MACR,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAE MELA,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAE PARR,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAE PLUM,947901.3762644338,232656398526.73343,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAE SCIU,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAE SPE.,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAE STRI,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAL BIVI,1337818.25444413,165204513453.48682,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAL CYAN,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAL GARN,1552944.8079225833,54918898096.50839,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAL MACU,73949.75275821825,546899085.4536923,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAL PICT,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAL POEY,6722.704796201659,45191398.42447469,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HAL RADI,20168.114388604976,206039511.0085851,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HET CRUE,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HOL ADSC,87395.16235062157,1806979318.4806695,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HOL BERM,322689.8302176796,3334338767.9824615,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HOL CILI,94117.86714682322,627999760.2440654,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HOL RUFU,255462.782255663,24858038612.101166,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HOL SPE.,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HOL TOWN,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HOL TRIC,20168.114388604976,406722585.8202722,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HYP BERM,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HYP GEMM,26890.819184806634,718537583.7701831,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HYP INDI,6722.704796201659,45191398.42447469,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HYP NIGR,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HYP PUEL,13445.409592403317,80424056.29205523,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HYP SPE.,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HYP TANN,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,HYP UNIC,73949.75275821825,2141805838.2305608,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,INE VITT,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,KYP SECT,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LAB GOBI,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LAB NUCH,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LAC BICA,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LAC MAXI,208403.8486822514,2669154007.7144465,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LAC TRIG,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LAC TRIQ,6722.704796201659,45191398.42447469,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LUT ANAL,67227.04796201659,505478346.2137276,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LUT APOD,13445.409592403317,180765593.69789875,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LUT CYAN,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LUT GRIS,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LUT JOCU,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LUT MAHO,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,LUT SYNA,13445.409592403317,80424056.29205523,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MAL MACR,6722.704796201659,45191398.42447469,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MAL PLUM,127731.3911278315,1652164260.591775,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MAL TRIA,67227.04796201659,703144893.6778067,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MAN BIRO,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MEG ATLA,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MIC CARR,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MIC CHRY,6722.704796201659,45191398.42447469,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MON TUCK,13445.409592403317,80424056.29205523,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MUL MART,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MYC BONA,6722.704796201659,45191398.42447469,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MYC INTE,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MYC MICR,0.0,0.0,10,20,1188.0,268908.19184806634,0
2000,DRY TORT,CONT_LR,0,MYC PHEN,20168.114388604976,406722585.8202722,10,20,1188.0,268908.19184806634,0
