YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
2012,FLA KEYS,ABU SAXA,6439655.686572657,1157642540681.5364,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ACA ASPE,14491.285743072389,44269184.8260632,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ACA BAHI,12591082.751973588,367741864361.08844,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ACA CHAP,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ACA CHIR,6890784.133132467,691728970973.8868,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ACA COER,11772416.320965728,1700321473158.3765,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ACA MARI,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ACA POLY,16376.491808697401,77970742.03995726,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ACA QUAD,83056.96835154737,266749613.20265883,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ACA SOLA,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ACA SPE.,562403.3869347111,13183701684.780962,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ACA SPIN,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,AET NARI,9768.13616855533,49015488.02931509,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,AHL EGMO,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ALB VULP,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ALE CILI,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ALP AFER,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ALU MONO,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ALU SCHO,3399.208102572649,11551216.516492976,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ALU SCRI,204512.52701013023,2353784546.5987663,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ALU SPE.,6937.837618122505,24906239.574626148,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,AMB PINO,12147.516796190423,37101233.86894018,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ANC LYOL,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ANI SURI,101444.33533575399,789511616.5011183,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ANI VIRG,3210278.4272010685,135417622078.5045,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ANT OCEL,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,APO AURO,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,APO BINO,8490.89565129847,39936754.89064089,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,APO MACU,9768.13616855533,32819992.792602133,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,APO PHEN,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,APO PSEU,48115.07535735801,1820463915.4635994,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,APO QUAD,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,APO TOWN,6711.387111359569,45129041.730712704,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ARC PROB,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,ARC RHOM,48999.91652383011,2400648819.9266524,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,AST GUTT,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,AST PUNC,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,AST SPE.,0,0,302,587,16145,3654480.4355109693,0
2012,FLA KEYS,AST STEL,0,0,302,587,16145,3654480.4355109693,0
