YEAR,protected_status,richness,shannon,simpson
1999,0,177,31.649842420866644,17.230636886348208
1999,1,153,30.638772614991236,17.293167941111538
1999,all,190,32.010758220724554,17.400957305898796
2000,0,187,32.481562808327006,17.644509626432832
2000,1,161,34.83431790679307,21.46649810133166
2000,all,201,33.5397275091328,18.23522685017371
2001,0,194,27.63056949475961,14.326977246060792
2001,1,187,17.981761533934197,8.68348429466196
2001,all,216,28.794144772854914,15.337726761504202
2002,0,203,37.0450580351436,19.246051746358084
2002,1,177,32.49478627688473,14.775377477925847
2002,all,212,38.39405049240946,19.93544488537177
2003,0,195,26.621931761068474,14.944253727249826
2003,1,185,38.04368011514625,23.720577804708213
2003,all,213,27.877718191072308,15.71558511868785
2004,0,183,17.913927210969806,7.010350888808445
2004,1,160,35.05044758011368,21.149924109004797
2004,all,199,18.66222542021018,7.329293654106523
2005,0,196,33.50863126535089,18.46703732613549
2005,1,166,37.40021960768516,22.23164889390872
2005,all,206,34.086403495116286,18.734264915058038
2006,0,210,31.005548121787783,15.381188849384685
2006,1,184,31.433374697421513,18.330441284732643
2006,all,221,31.669397251323733,15.743523248349833
2007,0,215,32.35430708217576,16.654513522259737
2007,1,190,34.76880044904728,18.93572174614692
2007,all,234,32.65011592755258,16.81403288216409
2008,0,212,32.33543066697418,16.39189666644824
2008,1,169,31.543257054232832,16.7141459632658
2008,all,220,32.56089153490597,16.49168295778369
2009,0,238,30.427127310846664,16.70770232467367
2009,1,193,32.621011578896415,18.26516382803737
2009,all,246,30.667385813234837,16.841072610043142
2010,0,217,27.809309225450047,14.154739480234788
2010,1,167,29.890227131756962,17.289165693962655
2010,all,224,28.117430583607874,14.423465677910452
2012,0,221,29.302760650477428,14.105023058372456
2012,1,193,29.070332188880013,14.550034799937112
2012,all,234,29.519062938433105,14.14868830526252
2014,0,214,32.9013986243024,17.69438770368257
2014,1,191,32.747389781926415,18.962871654859324
2014,all,229,33.3072635968795,17.838999110759744
2016,0,219,29.902754721875475,15.41385574410522
2016,1,199,26.348776295062986,11.966963232645217
2016,all,232,31.390770410573946,16.118579328144673
