YEAR,STRAT,protected_status,richness,simpson,shannon
1999,FMLR,0,148,14.115652439597614,28.704969027175895
1999,FSLR,0,102,15.54923249103841,27.299920428912973
1999,HRRF,0,89,13.07525178554946,26.150204349373876
1999,INPR,0,80,11.522870547050982,21.526321678867298
1999,MCPR,0,105,12.30935672286081,23.26220824006465
1999,OFPR,0,60,12.370517714821519,21.374144571931144
1999,FMLR,1,105,11.49731258463668,22.24414307617812
1999,FSLR,1,67,10.054321641603199,18.163755094045808
1999,HRRF,1,135,13.994951003918295,26.545493433617697
1999,INPR,1,49,11.331215747255031,18.233237870525315
1999,MCPR,1,51,8.768281643850864,16.635982943957774
1999,OFPR,1,76,11.736709656729754,23.70214938464346
2000,FMLR,0,170,13.48505268601631,27.80303057116823
2000,FSLR,0,98,17.40303121946742,28.651573251176664
2000,HRRF,0,100,11.513964016659303,23.655954779399593
2000,INPR,0,82,12.746257662447533,21.33174866785469
2000,MCPR,0,113,15.357302625530213,27.18203906798097
2000,OFPR,0,98,17.277914825926764,29.274798708922155
2000,FMLR,1,129,16.710482754955397,27.552137225321275
2000,FSLR,1,90,12.11833637890034,22.71870450605533
2000,HRRF,1,130,14.04772426199867,26.22210517045102
2000,INPR,1,65,14.200794791733445,22.040597453277535
2000,MCPR,1,74,7.947884388539751,18.40799540071145
2000,OFPR,1,88,19.41309001190426,29.90918361610221
2001,FDLR,0,117,3.2863860557329256,8.918836198239113
2001,FMLR,0,152,11.565475559172114,23.214044652693357
2001,FSLR,0,133,11.959301946458694,24.580588512140334
2001,HRRF,0,142,9.05080156829427,20.35469907882568
2001,INPR,0,72,9.941619069698472,17.382456745976125
2001,MCPR,0,127,13.867089942595694,23.725098267781558
2001,OFPR,0,105,17.224472461236843,28.669877343862005
2001,FMLR,1,132,4.411428402858153,10.69949553574769
2001,FSLR,1,119,7.614206508860829,17.37545048440406
2001,HRRF,1,160,2.5338838693217696,6.9686588297978025
2001,INPR,1,56,7.494439405618575,13.576642408644608
2001,MCPR,1,79,14.43386664355476,22.47884079179153
2001,OFPR,1,72,9.81750764265062,18.71037468446542
2002,FDLR,0,126,13.117582558524443,26.051347153103766
2002,FMLR,0,183,11.694679302454423,27.576341708341303
2002,FSLR,0,91,7.671585562175906,17.53026376348074
2002,HRRF,0,140,3.226419760470038,9.407625440468383
2002,INPR,0,90,12.393677087288859,22.082696456239756
2002,MCPR,0,127,12.125836892461795,23.57058961907328
2002,OFPR,0,114,19.558592938931138,32.57076626706681
2002,FMLR,1,143,13.340472956096578,26.8770530390927
2002,FSLR,1,76,19.959557031220687,29.748506964374524
2002,HRRF,1,138,17.33728180605547,29.95029792929627
2002,INPR,1,77,1.4963437892810303,2.813181644913697
2002,MCPR,1,76,19.13690008065803,29.710925728139486
2002,OFPR,1,72,17.64022217445897,27.860199397528543
2003,FDLR,0,104,8.971823131873927,18.430259959444424
2003,FMLR,0,153,8.998236444542501,18.423602567420506
2003,FSLR,0,125,12.709829058581045,24.942917549964466
2003,HRRF,0,141,17.606850244712223,31.058896402099887
2003,INPR,0,78,12.46014949257059,20.617340363055412
2003,MCPR,0,111,6.983969346384829,15.19755326643375
2003,OFPR,0,91,2.407333266794291,5.746615278674315
2003,FMLR,1,142,19.484256586160306,33.63329440661145
2003,FSLR,1,112,14.27784845439319,27.93476558854129
2003,HRRF,1,145,16.654724716786397,27.453592087981583
2003,INPR,1,59,8.262225661960192,15.441924137415233
2003,MCPR,1,75,10.202986493922383,18.051024545525983
2003,OFPR,1,63,14.991945942937257,22.508546573896318
2004,FDLR,0,92,7.3234461581265675,17.09100152999895
2004,FMLR,0,138,8.806788960013842,21.25830691495054
2004,FSLR,0,110,14.399080596156924,25.78469987659161
2004,HRRF,0,124,15.697839263124386,30.25931845220757
2004,INPR,0,60,12.184181143050036,21.52244622875205
2004,MCPR,0,84,1.6703144518915796,3.2899986841122404
2004,OFPR,0,104,13.84509414208637,25.585023687062783
2004,FMLR,1,107,16.838329817716573,28.40220795021601
2004,FSLR,1,69,13.657031505740942,21.715878614497804
2004,HRRF,1,144,18.752631303466472,30.279930209775724
2004,OFPR,1,74,14.49391680692473,24.828747525746483
2005,FDLR,0,131,6.103148637784945,17.082157857592204
2005,FMLR,0,159,12.541951830999995,26.672792164497107
2005,FSLR,0,119,10.039649470459834,19.802135426908144
2005,HRRF,0,123,12.59411215119669,26.748434678938292
2005,INPR,0,59,5.948311093386604,12.797403312749214
2005,MCPR,0,119,15.688504596555461,26.695351578023104
2005,OFPR,0,123,14.665825058638944,25.657619428673147
2005,FMLR,1,136,13.127949163243024,27.625604519820136
2005,FSLR,1,91,18.40517745081599,28.202217444535346
2005,HRRF,1,141,18.699307939687664,30.926408079643537
2005,INPR,1,53,10.663942458813306,16.82513079139037
2005,MCPR,1,52,9.500362364611934,15.116668524279751
2005,OFPR,1,57,16.250413223140505,25.294111576774934
2006,FDLR,0,124,3.5146511257084394,9.909260121386984
2006,FMLR,0,180,15.79973578509255,30.500890181896164
2006,FSLR,0,107,12.003826128146487,21.65711064331977
2006,HRRF,0,140,13.530269403699073,29.12477902200864
2006,INPR,0,78,15.282937318425198,24.82915150928035
2006,MCPR,0,129,15.614400969918293,28.684187069832678
2006,OFPR,0,116,13.899950511253605,24.729679960812128
2006,FMLR,1,150,10.176716705649532,18.322687546260116
2006,FSLR,1,127,14.88888085702517,24.85784583840264
2006,HRRF,1,135,17.698855178048962,30.064890459778308
2006,INPR,1,78,11.917407475747892,21.060766976268702
2006,MCPR,1,92,13.24271741593047,23.76524559911996
2006,OFPR,1,87,14.461039837473912,24.808514133786357
2007,FDLR,0,146,9.288036245698068,19.654668129771412
2007,FMLR,0,187,12.359129907987967,27.233750871771413
2007,FSLR,0,129,12.49884377865517,25.19993408843158
2007,HRRF,0,120,12.365668347931722,25.447517253311855
2007,INPR,0,82,19.5595096985234,28.88867839377406
2007,MCPR,0,145,15.738437603598042,27.741307770262754
2007,OFPR,0,123,18.022404023931227,30.71267834395191
2007,FMLR,1,138,13.31042343750345,24.881321997445706
2007,FSLR,1,104,8.238315175575707,16.744533311784846
2007,HRRF,1,154,15.873433318353596,29.216849313079674
2007,INPR,1,49,16.948055137690716,24.836907148558844
2007,MCPR,1,79,11.238228375926832,20.76409863897009
2007,OFPR,1,74,16.004712418929607,25.96929929888649
2008,FDLR,0,137,10.144778083589765,21.362484765422693
2008,FMLR,0,175,10.293669075369703,24.112970087936308
2008,FSLR,0,132,15.495679106063246,26.01647915865168
2008,HRRF,0,129,9.669908478705787,22.423703264146265
2008,INPR,0,88,12.862870157791944,22.54387909542631
2008,MCPR,0,142,11.479041881398079,23.531119356209533
2008,OFPR,0,136,19.52727709912731,32.35494119804297
2008,FMLR,1,144,11.392427737115408,23.940379572996836
2008,FSLR,1,97,11.06680160658053,20.546373265488356
2008,HRRF,1,127,14.906169098937315,26.896363406845094
2008,INPR,1,53,13.94775302845769,21.614316160600072
2008,MCPR,1,87,15.345246041911858,25.2196045754869
2008,OFPR,1,77,13.06057837696361,23.765699775251004
2009,FDLR,0,166,5.60758704598568,14.647955837043295
2009,FMLR,0,204,13.064792735924932,26.119576389722756
2009,FSLR,0,138,12.820195332184204,22.324113573582345
2009,HRRF,0,141,11.746430681416822,23.6341313626148
2009,INPR,0,114,7.492805019537854,14.567920604034216
2009,MCPR,0,140,11.866900880437278,22.423155476409253
2009,OFPR,0,155,14.362767200563841,27.045029445488733
2009,FMLR,1,155,13.892567853825726,26.090486577067328
2009,FSLR,1,115,10.031573369872893,18.8273205490972
2009,HRRF,1,143,14.852580414170031,27.374872902171063
2009,INPR,1,66,13.910059625715807,21.30516401366483
2009,MCPR,1,81,13.68469685733573,21.85043031164735
2009,OFPR,1,80,13.046015571003029,23.72084831622301
2010,FDLR,0,143,5.273972342868658,13.571183012356583
2010,FMLR,0,179,13.89604421950515,27.1856826466322
2010,FSLR,0,134,9.941677658459113,19.884565590494173
2010,HRRF,0,122,5.95923128985422,16.401754501989938
2010,INPR,0,80,4.093482490931152,8.852051544576621
2010,MCPR,0,134,11.538891718571266,19.983183270005217
2010,OFPR,0,132,16.05669175331737,27.438282456364693
2010,FMLR,1,142,11.779275885438157,22.786199257591687
2010,FSLR,1,112,14.18345630302598,23.46603961543626
2010,HRRF,1,117,15.252487599896893,26.52867182916526
2010,INPR,1,53,8.61814195485801,15.025501865941486
2010,MCPR,1,72,4.26827271666359,10.150509289811714
2010,OFPR,1,83,13.62494161712369,22.225959472309658
2012,FDLR,0,152,4.603455340470011,13.141695341820228
2012,FMLR,0,193,14.482418519322726,27.39499947781884
2012,FSLR,0,131,16.02118407613176,27.769581286174184
2012,HRRF,0,112,18.829677709904225,29.541533503964587
2012,INPR,0,78,5.100416163026886,11.220082756813087
2012,MCPR,0,144,15.457159349325858,26.888905201082384
2012,OFPR,0,132,12.783593002904272,25.160782606033486
2012,FMLR,1,161,8.126039671508243,19.059931119735374
2012,FSLR,1,118,14.280590242013375,24.06269452529666
2012,HRRF,1,126,14.101585884675748,25.11591183768014
2012,INPR,1,53,5.9860122616534825,10.547955151699934
2012,MCPR,1,91,17.615290770073624,27.043301914911947
2012,OFPR,1,124,14.80413136011327,27.191659388853314
2014,FDLR,0,149,7.350143774052788,20.463003220806023
2014,FMLR,0,170,13.543464394767339,26.727577807202906
2014,FSLR,0,137,14.283906853724067,24.5744627791811
2014,HRRF,0,125,12.370205816449172,23.117988517736336
2014,INPR,0,95,11.19007871815178,20.496331007318645
2014,MCPR,0,145,12.839243517682789,24.06356952169342
2014,OFPR,0,144,19.413859522893514,30.585814724463063
2014,FMLR,1,147,15.624639371310808,27.589732485756446
2014,FSLR,1,123,10.17150823497931,19.324412362932744
2014,HRRF,1,140,17.326197136586238,29.106353504879888
2014,INPR,1,56,10.364746607701035,16.458696128238902
2014,MCPR,1,89,7.065360959654758,14.379307784558803
2014,OFPR,1,103,19.476019971067622,28.232111398206033
2016,FDLR,0,144,5.562339686671299,15.477075762636593
2016,FMLR,0,176,14.081963436018002,26.554840029601856
2016,FSLR,0,122,12.556719758598561,22.77648122727789
2016,HRRF,0,132,13.894255326294427,26.20562716579964
2016,INPR,0,100,15.702529578159886,26.213798138104973
2016,MCPR,0,166,12.757272846710652,25.263811476913546
2016,OFPR,0,160,18.03477619814409,31.497596054556972
2016,FMLR,1,144,15.202609249336057,27.654026597802233
2016,FSLR,1,131,12.617810836598673,25.064652925196427
2016,HRRF,1,155,13.732211449362296,26.86077654962831
2016,INPR,1,52,1.328145899019842,2.0351685332168077
2016,MCPR,1,92,17.029897504944962,25.379176667166927
2016,OFPR,1,94,19.322172974551798,29.846906530432527
