YEAR,STRAT,richness,simpson,shannon
1999,FMLR,152,14.147744348307574,28.88729641184098
1999,FSLR,109,15.21643091623524,26.980646253187224
1999,HRRF,140,14.680833127511125,28.625753727590403
1999,INPR,89,12.249371062572273,22.450584707164996
1999,MCPR,108,12.523936159189759,23.506260962181155
1999,OFPR,85,12.624022078028611,22.12450628825592
2000,FMLR,180,14.02713690810549,28.80044923570919
2000,FSLR,107,17.1366967332129,28.720526973732223
2000,HRRF,135,12.9150873288622,25.6015125168334
2000,INPR,94,13.511401586962208,23.068767475587272
2000,MCPR,120,16.03298203686544,28.314592826368536
2000,OFPR,116,17.604763713256432,29.95067109186261
2001,FDLR,117,3.2863860557329256,8.918836198239113
2001,FMLR,167,12.424900478308514,23.598380408470355
2001,FSLR,149,12.787023229531258,25.57024444716061
2001,HRRF,171,5.662177877942616,14.543847050849081
2001,INPR,82,9.836417943765282,17.461264814743647
2001,MCPR,130,13.986049057837146,23.891672519692744
2001,OFPR,109,17.316881347594574,28.770756094170196
2002,FDLR,126,13.117582558524443,26.051347153103766
2002,FMLR,189,11.845444526147864,28.059749055227712
2002,FSLR,103,8.236840331374049,18.758422449693278
2002,HRRF,159,5.96311972569289,16.718601785152014
2002,INPR,103,5.072197310222916,12.26237154946624
2002,MCPR,132,12.429409022114246,24.188855728488498
2002,OFPR,123,19.841655254730373,33.051368591551984
2003,FDLR,104,8.971823131873927,18.430259959444424
2003,FMLR,172,9.666356852353259,19.950380778011883
2003,FSLR,143,13.726270245936648,26.690262741149624
2003,HRRF,169,19.326831833738364,32.59359695766039
2003,INPR,88,11.934570711398777,20.88926315398209
2003,MCPR,122,7.264319126996426,15.828355729719858
2003,OFPR,102,2.4855332071803207,6.0767535898633875
2004,FDLR,92,7.3234461581265675,17.09100152999895
2004,FMLR,151,9.178166473617988,21.983393020665552
2004,FSLR,120,14.96515357285527,26.482826268249188
2004,HRRF,160,18.63888450159463,32.41376855441671
2004,INPR,60,12.184181143050036,21.52244622875205
2004,MCPR,84,1.6703144518915796,3.2899986841122404
2004,OFPR,112,14.124809247008564,26.05817526773505
2005,FDLR,131,6.103148637784945,17.082157857592204
2005,FMLR,169,12.763543784064233,27.132062551711904
2005,FSLR,128,10.87993818768377,21.027516902118947
2005,HRRF,154,17.12329892039332,31.85430258806457
2005,INPR,74,6.979952159818625,14.704837749510864
2005,MCPR,121,15.571688292393047,26.512270071468617
2005,OFPR,123,14.958679188905398,26.14792852377102
2006,FDLR,124,3.5146511257084394,9.909260121386984
2006,FMLR,191,16.107843849499186,30.988125605585093
2006,FSLR,142,12.615360287403963,22.805228317839855
2006,HRRF,158,15.721153789638565,30.89495284051219
2006,INPR,103,15.10576550758661,25.815114762108827
2006,MCPR,138,15.649505031416735,28.78552128113376
2006,OFPR,126,14.028710865613304,24.980288238823153
2007,FDLR,146,9.288036245698068,19.654668129771412
2007,FMLR,195,12.591153584177459,27.464560629087238
2007,FSLR,144,12.24988865795831,24.985262096463835
2007,HRRF,167,14.786672664195512,29.276533920853474
2007,INPR,90,19.69653956980372,29.482373733202063
2007,MCPR,150,15.689780437925386,27.76120465182705
2007,OFPR,128,18.25038288859965,30.958672521855497
2008,FDLR,137,10.144778083589765,21.362484765422693
2008,FMLR,189,10.368254709410964,24.26428571236125
2008,FSLR,138,15.347444300728357,25.975355377063597
2008,HRRF,145,11.952856494289234,25.37070797230726
2008,INPR,94,13.166177061913492,23.268293922745272
2008,MCPR,149,11.674455355974871,23.785210088911562
2008,OFPR,140,19.87079557753567,32.914073640806414
2009,FDLR,166,5.60758704598568,14.647955837043295
2009,FMLR,213,13.117374524572142,26.316325235416862
2009,FSLR,153,12.696599738445201,22.287752857505094
2009,HRRF,166,12.918205960352644,25.809219233213952
2009,INPR,121,8.03591736597374,15.579437193570937
2009,MCPR,143,11.94283819035793,22.533309580885103
2009,OFPR,157,14.350063140957113,27.121521215591972
2010,FDLR,143,5.273972342868658,13.571183012356583
2010,FMLR,188,13.836701229191132,27.083120973626322
2010,FSLR,143,10.389749481265662,20.64941989997317
2010,HRRF,145,9.26980118322204,21.505399757875807
2010,INPR,90,4.238712002020137,9.282170507025779
2010,MCPR,139,11.625111855715662,20.01538721705555
2010,OFPR,138,16.37230318017917,27.84743613745286
2011,FDLR,183,5.79909684863351,17.80060554989548
2011,FMLR,202,15.830179553610064,30.92355218093292
2011,FSLR,157,17.39856073069582,28.704126920508283
2011,HRRF,144,17.803497299526754,31.436502448674705
2011,INPR,104,7.734180481867161,16.313353729189224
2011,MCPR,136,10.471786323530587,20.690130844678244
2011,OFPR,142,18.676343616388706,30.280533811844407
2012,FDLR,152,4.603455340470011,13.141695341820228
2012,FMLR,202,14.237409605645425,27.078526835886187
2012,FSLR,143,15.9498994993592,27.720799314705975
2012,HRRF,142,18.153844531035517,29.91913060588278
2012,INPR,91,6.092999768900914,13.523627518892328
2012,MCPR,149,15.673261047609266,27.13555878898124
2012,OFPR,151,12.902618666935581,25.423267408195382
2014,FDLR,149,7.350143774052788,20.463003220806023
2014,FMLR,182,13.818819212983984,27.404377634155775
2014,FSLR,154,14.095872794724777,24.94778296241715
2014,HRRF,155,14.185928246517003,26.011510502741512
2014,INPR,100,11.45722295564523,20.748665429670883
2014,MCPR,151,12.664285101183177,23.908759564798597
2014,OFPR,153,19.53001067751218,30.691247006959895
2016,FDLR,144,5.562339686671299,15.477075762636593
2016,FMLR,186,14.305197923596111,27.194976289715097
2016,FSLR,151,12.666883660435795,23.517843497818664
2016,HRRF,163,14.063534229147514,27.108296225216915
2016,INPR,107,3.0470694701373895,8.37574184833198
2016,MCPR,173,12.998241290391064,25.605948960708634
2016,OFPR,164,18.239976332461097,31.769859977328696
