region,title,y_label,element,csv_url,group_by,filter,col_t,col_y,skip_lines
Florida Keys,Average count,Average count,algal-farmers,https://raw.githubusercontent.com/marinebon/analysis/gh-pages/data/rvc_grp_years.csv,,"group == ""Algal farmer""",year,q_mean,0
Florida Keys,Species Richness,Species Richness,algal-farmers,https://raw.githubusercontent.com/marinebon/analysis/gh-pages/data/rvc_grp_years.csv,,"group == ""Algal farmer""",year,n_species,0
Florida Keys,Forage fish Abundance,Abundance,Forage fish ,,protected_status ,,year,abundance,
Florida Keys,Forage fish Density,Density,Forage fish ,,protected_status ,,year,density ,
Florida Keys,Forage fish Richness,Species Richness,Forage fish ,,protected_status ,,year,richness,
Florida Keys,Forage fish Shannon Diversity ,Effective number of species ,Forage fish ,,protected_status ,,year,shannon ,
Florida Keys,Forage fish Simpson Diversity,Effective number of species ,Forage fish ,,protected_status ,,year,simpson ,
Florida Keys,Grunts Abundance,Abundance,Grunts,,protected_status ,,year,abundance,
Florida Keys,Grunts Density,Density,Grunts,,protected_status ,,year,density ,
Florida Keys,Grunts Richness,Species Richness,Grunts,,protected_status ,,year,richness,
Florida Keys,Grunts Shannon Diversity ,Effective number of species ,Grunts,,protected_status ,,year,shannon ,
Florida Keys,Grunts Simpson Diversity,Effective number of species ,Grunts,,protected_status ,,year,simpson ,
Florida Keys,Grouper Abundance,Abundance,Grouper,,protected_status ,,year,abundance,
Florida Keys,Grouper Density,Density,Grouper,,protected_status ,,year,density ,
Florida Keys,Grouper Richness,Species Richness,Grouper,,protected_status ,,year,richness,
Florida Keys,Grouper Shannon Diversity ,Effective number of species ,Grouper,,protected_status ,,year,shannon ,
Florida Keys,Grouper Simpson Diversity,Effective number of species ,Grouper,,protected_status ,,year,simpson ,
Florida Keys,Higher Level Reef Fish Abundance,Abundance,Higher Level Reef Fish,,protected_status ,,year,abundance,
Florida Keys,Higher Level Reef Fish Density,Density,Higher Level Reef Fish,,protected_status ,,year,density ,
Florida Keys,Higher Level Reef Fish Richness,Species Richness,Higher Level Reef Fish,,protected_status ,,year,richness,
Florida Keys,Higher Level Reef Fish Shannon Diversity ,Effective number of species ,Higher Level Reef Fish,,protected_status ,,year,shannon ,
Florida Keys,Higher Level Reef Fish Simpson Diversity,Effective number of species ,Higher Level Reef Fish,,protected_status ,,year,simpson ,
Florida Keys,Hogfish Abundance,Abundance,Hogfish,,protected_status ,,year,abundance,
Florida Keys,Hogfish Density,Density,Hogfish,,protected_status ,,year,density ,
Florida Keys,Hogfish Richness,Species Richness,Hogfish,,protected_status ,,year,richness,
Florida Keys,Hogfish Shannon Diversity ,Effective number of species ,Hogfish,,protected_status ,,year,shannon ,
Florida Keys,Hogfish Simpson Diversity,Effective number of species ,Hogfish,,protected_status ,,year,simpson ,
Florida Keys,Lionfish Abundance,Abundance,Lionfish,,protected_status ,,year,abundance,
Florida Keys,Lionfish Density,Density,Lionfish,,protected_status ,,year,density ,
Florida Keys,Opportunists Abundance,Abundance,Opportunists ,,protected_status ,,year,abundance,
Florida Keys,Opportunists Density,Density,Opportunists ,,protected_status ,,year,density ,
Florida Keys,Opportunists Richness,Species Richness,Opportunists ,,protected_status ,,year,richness,
Florida Keys,Opportunists Shannon Diversity ,Effective number of species ,Opportunists ,,protected_status ,,year,shannon ,
Florida Keys,Opportunists Simpson Diversity,Effective number of species ,Opportunists ,,protected_status ,,year,simpson ,
Florida Keys,Parrotfish Abundance,Abundance,Parrotfish,,protected_status ,,year,abundance,
Florida Keys,Parrotfish Density,Density,Parrotfish,,protected_status ,,year,density ,
Florida Keys,Parrotfish Richness,Species Richness,Parrotfish,,protected_status ,,year,richness,
Florida Keys,Parrotfish Shannon Diversity ,Effective number of species ,Parrotfish,,protected_status ,,year,shannon ,
Florida Keys,Parrotfish Simpson Diversity,Effective number of species ,Parrotfish,,protected_status ,,year,simpson ,
Florida Keys,Snapper Abundance,Abundance,Snapper,,protected_status ,,year,abundance,
Florida Keys,Snapper Density,Density,Snapper,,protected_status ,,year,density ,
Florida Keys,Snapper Richness,Species Richness,Snapper,,protected_status ,,year,richness,
Florida Keys,Snapper Shannon Diversity ,Effective number of species ,Snapper,,protected_status ,,year,shannon ,
Florida Keys,Snapper Simpson Diversity,Effective number of species ,Snapper,,protected_status ,,year,simpson ,
Florida Keys,Rays Abundance,Abundance,Rays,,protected_status ,,year,abundance,
Florida Keys,Rays Density,Density,Rays,,protected_status ,,year,density ,
Florida Keys,Rays Richness,Species Richness,Rays,,protected_status ,,year,richness,
Florida Keys,Rays Shannon Diversity ,Effective number of species ,Rays,,protected_status ,,year,shannon ,
Florida Keys,Rays Simpson Diversity,Effective number of species ,Rays,,protected_status ,,year,simpson ,
Florida Keys,Sea bass and Hamlets Abundance,Abundance,Sea bass and Hamlets,,protected_status ,,year,abundance,
