Diversity,Predictor,Partial_Deviance,Partial_Deviance_SE,Percent_Partial_Deviance
Abundance,All,0.200637218,0,20.06372179
Abundance,Habitat structure,0.102058644,0.008606156,10.20586438
Abundance,Space,0.096723774,0.00951592,9.672377356
Abundance,No-take marine zones,0.022186978,0.007953225,2.218697795
Abundance,Time,0.021218877,0.00781687,2.121887749
Biomass,All,0.186966835,0,18.69668348
Biomass,Habitat structure,0.136996447,0.002927999,13.69964473
Biomass,Space,0.048204101,0.007929332,4.820410096
Biomass,No-take marine zones,0.028997102,0.008036811,2.89971024
Biomass,Time,0.015202025,0.007651499,1.520202497
Evenness,All,0.117052093,0,11.70520929
Evenness,Habitat structure,0.087623042,0.002142419,8.762304158
Evenness,Space,0.037703699,0.005084385,3.770369942
Evenness,No-take marine zones,0.010397928,0.005162811,1.039792818
Evenness,Time,0.010029347,0.005176433,1.002934697
Richness,All,0.266657387,0,26.66573871
Functional,Habitat structure,0.138862074,2.48E-04,13.8862074
Functional,No-take marine zones,0.015111865,0.007967083,1.511186484
Functional,Time,0.014219946,0.007952379,1.421994609
Functional,Space,0.011932944,0.007949642,1.193294446
Simpson,All,0.11400572,0,11.40057202
Richness,Habitat structure,0.198725268,0.00883415,19.87252685
Richness,Space,0.072830222,0.014249747,7.283022191
Richness,No-take marine zones,0.02968994,0.012343336,2.968994036
Richness,Time,0.022515452,0.011919303,2.251545172
Shannon,All,0.124695206,0,12.46952063
Shannon,Habitat structure,0.093914235,0.001817502,9.391423457
Shannon,Space,0.037831802,0.005260656,3.783180193
Shannon,No-take marine zones,0.012973518,0.00545878,1.297351817
Shannon,Time,0.010453778,0.005378245,1.045377755
Functional,All,0.144143936,0,14.41439359
Simpson,Habitat structure,0.085423231,0.001726159,8.542323056
Simpson,Space,0.03568923,0.004789167,3.568922958
Simpson,No-take marine zones,0.011613107,0.004979678,1.161310748
Simpson,Time,0.009795491,0.004930612,0.979549136
