,Common Name,Scientific Name,Total abundance,Percent ,
1,Bicolor Damselfish,Stegastes partitus,240754,11.37,80.52
2,Bluehead,Thalassoma bifasciatum,224874,10.62,22.00
3,Masked Goby,Coryphopterus personatus,198573,9.38,58.52
4,Tomtate,Haemulon aurolineatum,121891,5.76,293
5,White Grunt,Haemulon plumierii,93382,4.41,
6,Striped Parrotfish,Scarus iseri,86022,4.06,
7,Reef Silverside,Hypoatherina harringtonensis,81552,3.85,
8,Slippery Dick,Halichoeres bivittatus,70797,3.34,
9,Yellowtail Snapper,Ocyurus chrysurus,61990,2.93,
10,Redband Parrotfish,Sparisoma aurofrenatum,51623,2.44,
11,French Grunt,Haemulon flavolineatum,49123,2.32,
12,Bluestriped Grunt,Haemulon sciurus,47395,2.24,
13,Yellowhead Wrasse,Halichoeres garnoti,41785,1.97,
14,Ocean Surgeon,Acanthurus bahianus,39518,1.87,
15,Hardhead Silverside,Atherinomorus stipes,39112,1.85,
16,Clown Wrasse,Halichoeres maculipinna,38041,1.80,
17,Sergeant Major,Abudefduf saxatilis,37482,1.77,
18,Bar Jack,Caranx ruber,36493,1.72,
19,Blue Tang,Acanthurus coeruleus,35927,1.70,
20,Brown Chromis,Chromis multilineata,31941,1.51,
21,Creole Wrasse,Clepticus parrae,30619,1.45,
22,Gray Snapper,Lutjanus griseus,24400,1.15,
23,Doctorfish,Acanthurus chirurgus,21179,1.00,
24,Bridled Goby,Coryphopterus glaucofraenum,19819,9.36E-01,1.95E+01
25,Blue Chromis,Chromis cyanea,19034,8.99E-01,
26,Stoplight Parrotfish,Sparisoma viride,17887,8.45E-01,
27,Smallmouth Grunt,Haemulon chrysargyreum,13969,6.60E-01,
28,Bermuda Chub,Kyphosus sectatrix,13524,6.39E-01,
29,Round Scad,Decapterus punctatus,13272,6.27E-01,
30,Schoolmaster,Lutjanus apodus,13105,6.19E-01,
31,Greenblotch Parrotfish,Sparisoma atomarium,11958,5.65E-01,
32,Hogfish,Lachnolaimus maximus,11209,5.30E-01,
33,Porkfish,Anisotremus virginicus,11127,5.26E-01,
34,Cocoa Damselfish,Stegastes variabilis,10452,4.94E-01,
35,Foureye Butterflyfish,Chaetodon capistratus,7901,3.73E-01,
36,Mackerel Scad,Decapterus macarellus,7709,3.64E-01,
37,Scaled Sardine,Harengula jaguana,7666,3.62E-01,
38,Cottonwick,Haemulon melanurum,7633,3.61E-01,
39,Sharpnose Puffer,Canthigaster rostrata,7442,3.52E-01,
40,Gray Angelfish,Pomacanthus arcuatus,7431,3.51E-01,
41,Yellow Goatfish,Mulloidichthys martinicus,6454,3.05E-01,
42,Spotted Goatfish,Pseudupeneus maculatus,5940,2.81E-01,
43,Spotfin Butterflyfish,Chaetodon ocellatus,5817,2.75E-01,
44,Dusky Anchovy,Anchoa lyolepis,5726,2.70E-01,
45,Purple Reeffish,Chromis scotti,5514,2.60E-01,
46,Redtail Parrotfish,Sparisoma chrysopterum,5505,2.60E-01,
47,Princess Parrotfish,Scarus taeniopterus,5430,2.56E-01,
48,Threespot Damselfish,Stegastes planifrons,5212,2.46E-01,
49,Lane Snapper,Lutjanus synagris,5036,2.38E-01,
50,Yellowtail Parrotfish,Sparisoma rubripinne,4897,2.31E-01,
51,Saucereye Porgy,Calamus calamus,4841,2.29E-01,
52,Dusky Damselfish,Stegastes adustus,4820,2.28E-01,
53,Reef Butterflyfish,Chaetodon sedentarius,4501,2.13E-01,
54,Neon Goby,Elacatinus oceanops,4426,2.09E-01,
55,Rock Beauty,Holacanthus tricolor,4395,2.08E-01,
56,Caesar Grunt,Haemulon carbonarium,4380,2.07E-01,
57,Green Razorfish,Xyrichtys splendens,4379,2.07E-01,
58,Graysby,Cephalopholis cruentata,4308,2.04E-01,
59,Yellowtail Damselfish,Microspathodon chrysurus,4135,1.95E-01,
60,Butter Hamlet,Hypoplectrus unicolor,3982,1.88E-01,
61,Harlequin Bass,Serranus tigrinus,3970,1.88E-01,
62,Blue Runner,Caranx crysos,3938,1.86E-01,
63,Puddingwife,Halichoeres radiatus,3904,1.84E-01,
64,Sunshinefish,Chromis insolata,3586,1.69E-01,
65,Glassy Sweeper,Pempheris schomburgkii,3575,1.69E-01,
66,Spanish Hogfish,Bodianus rufus,3464,1.64E-01,
67,Yellow Jack,Caranx bartholomaei,3435,1.62E-01,
68,Sailors Choice,Haemulon parra,3213,1.52E-01,
69,Beaugregory,Stegastes leucostictus,3177,1.50E-01,
70,Goldspot Goby,Gnatholepis thompsoni,3031,1.43E-01,
71,Queen Angelfish,Holacanthus ciliaris,2884,1.36E-01,
72,Striped Grunt,Haemulon striatum,2855,1.35E-01,
73,Blackear Wrasse,Halichoeres poeyi,2573,1.22E-01,
74,Yellowhead Jawfish,Opistognathus aurifrons,2502,1.18E-01,
75,Blue Parrotfish,Scarus coeruleus,2410,1.14E-01,
76,Mahogany Snapper,Lutjanus mahogoni,2166,1.02E-01,
77,French Angelfish,Pomacanthus paru,2087,9.86E-02,
78,Bluelip Parrotfish,Cryptotomus roseus,2005,9.47E-02,
79,Rainbow Parrotfish,Scarus guacamaia,1983,9.37E-02,
80,Boga,Inermia vittata,1954,9.23E-02,
81,Mutton Snapper,Lutjanus analis,1870,8.83E-02,
82,Midnight Parrotfish,Scarus coelestinus,1857,8.77E-02,
83,Queen Parrotfish,Scarus vetula,1829,8.64E-02,
84,Bucktooth Parrotfish,Sparisoma radians,1810,8.55E-02,
85,Squirrelfish,Holocentrus adscensionis,1809,8.54E-02,
86,Blue Dartfish,Ptereleotris calliura,1728,8.16E-02,
87,Banded Butterflyfish,Chaetodon striatus,1635,7.72E-02,
88,Black Grouper,Mycteroperca bonaci,1601,7.56E-02,
89,Great Barracuda,Sphyraena barracuda,1584,7.48E-02,
90,Blue Angelfish,Holacanthus bermudensis,1507,7.12E-02,
91,Atlantic Trumpetfish,Aulostomus maculatus,1346,6.36E-02,
92,Red Grouper,Epinephelus morio,1218,5.75E-02,
93,Ballyhoo,Hemiramphus brasiliensis,1148,5.42E-02,
94,Saddled Blenny,Malacoctenus triangulatus,1083,5.12E-02,
95,High Hat,Pareques acuminatus,1076,5.09E-02,
96,Atlantic Spadefish,Chaetodipterus faber,1025,4.84E-02,
97,Cero,Scomberomorus regalis,1007,4.76E-02,
98,Spanish Grunt,Haemulon macrostomum,1005,4.75E-02,
99,Reef Croaker,Odontoscion dentex,899,4.24E-02,
100,Longfin Damselfish,Stegastes diencaeus,894,4.23E-02,
101,Seaweed Blenny,Parablennius marmoreus,862,4.07E-02,
102,Colon Goby,Coryphopterus dicrus,812,3.84E-02,
103,Smooth Trunkfish,Lactophrys triqueter,764,3.61E-02,
104,Tobaccofish,Serranus tabacarius,743,3.51E-02,
105,Rosy Razorfish,Xyrichtys martinicensis,738,3.49E-02,
106,Gray Triggerfish,Balistes capriscus,732,3.46E-02,
107,Scrawled Filefish,Aluterus scriptus,730,3.45E-02,
108,Longspine Squirrelfish,Holocentrus rufus,720,3.40E-02,
109,Southern Sennet,Sphyraena picudilla,691,3.26E-02,
110,Lantern Bass,Serranus baldwini,612,2.89E-02,
111,Horse Eye Jack,Caranx latus,588,2.78E-02,
112,Rosy Blenny,Malacoctenus macropus,564,2.66E-02,
113,Spanish Sardine,Sardinella aurita,507,2.39E-02,
114,Redear Sardine,Harengula humeralis,500,2.36E-02,
115,Black Margate,Anisotremus surinamensis,499,2.36E-02,
116,Blue Hamlet,Hypoplectrus gemma,448,2.12E-02,
117,Margate,Haemulon album,446,2.11E-02,
118,Yellow Stingray,Urobatis jamaicensis,419,1.98E-02,
119,Coney,Cephalopholis fulva,407,1.92E-02,
120,Yellowfin Mojarra,Gerres cinereus,396,1.87E-02,
121,Sand Tilefish,Malacanthus plumieri,395,1.87E-02,
122,Ocean Triggerfish,Canthidermis sufflamen,386,1.83E-02,
123,Rock Hind,Epinephelus adscensionis,375,1.77E-02,
124,Barred Hamlet,Hypoplectrus puella,341,1.61E-02,
125,Chalk Bass,Serranus tortugarum,324,1.53E-02,
126,Glasseye Snapper,Heteropriacanthus cruentatus,308,1.45E-02,
127,Nurse Shark,Ginglymostoma cirratum,297,1.40E-02,
128,Red Lionfish,Pterois volitans,259,1.22E-02,
129,Slender Filefish,Monacanthus tuckeri,250,1.18E-02,
130,Redlip Blenny,Ophioblennius macclurei,245,1.16E-02,
131,Scrawled Cowfish,Acanthostracion quadricornis,240,1.13E-02,
132,Gag,Mycteroperca microlepis,225,1.06E-02,
133,Rainbow Runner,Elagatis bipinnulata,216,1.02E-02,
134,Spotfin Hogfish,Bodianus pulchellus,213,1.00E-02,
135,Bigeye,Priacanthus arenatus,203,9.59E-03,
136,Pallid Goby,Coryphopterus eidolon,197,9.31E-03,
137,Emerald Parrotfish,Nicholsina usta,193,9.11E-03,
138,Dash Goby,Ctenogobius saepepallens,192,9.05E-03,
139,Hovering Dartfish,Ptereleotris helenae,190,8.95E-03,
140,Sea Bream,Archosargus rhomboidalis,189,8.93E-03,
141,Yellowtail Reeffish,Chromis enchrysura,186,8.79E-03,
142,Dog Snapper,Lutjanus jocu,184,8.70E-03,
143,Spotted Moray,Gymnothorax moringa,183,8.66E-03,
144,Bandtail Puffer,Sphoeroides spengleri,181,8.57E-03,
145,Tarpon,Megalops atlanticus,179,8.43E-03,
146,Balloonfish,Diodon holocanthus,178,8.41E-03,
147,Townsend Angelfish,Holocanthus sp.,177,8.37E-03,
148,Red Hind,Epinephelus guttatus,177,8.36E-03,
149,Scamp,Mycteroperca phenax,177,8.35E-03,
150,Wrasse Blenny,Hemiemblemaria simula,168,7.94E-03,
151,Sharksucker,Echeneis naucrates,167,7.87E-03,
152,Nassau Grouper,Epinephelus striatus,153,7.25E-03,
153,Yellowcheek Wrasse,Halichoeres cyanocephalus,143,6.76E-03,
154,Seminole Goby,Microgobius carri,141,6.66E-03,
155,Blackfin Snapper,Lutjanus buccanella,137,6.46E-03,
156,Queen Triggerfish,Balistes vetula,133,6.27E-03,
157,Twospot Cardinalfish,Apogon pseudomaculatus,132,6.24E-03,
158,Pearly Razorfish,Xyrichtys novacula,129,6.09E-03,
159,Spotted Drum,Equetus punctatus,128,6.05E-03,
160,Orangespotted Filefish,Cantherhines pullus,126,5.97E-03,
161,Jolthead Porgy,Calamus bajonado,123,5.80E-03,
162,Blackbar Soldierfish,Myripristis jacobus,123,5.79E-03,
163,Green Moray,Gymnothorax funebris,118,5.59E-03,
164,Porcupinefish,Diodon hystrix,118,5.56E-03,
165,Molly Miller,Scartella cristata,110,5.20E-03,
166,Permit,Trachinotus falcatus,109,5.16E-03,
167,Crevalle Jack,Caranx hippos,109,5.13E-03,
168,Rainbow Wrasse,Halichoeres pictus,107,5.04E-03,
