SCINAME,abundance_sum,com_percent
Stegastes partitus,240754.299,11.372867134091237
Thalassoma bifasciatum,224874.165,10.622713742007614
Coryphopterus personatus,198572.5,9.380263066390071
Haemulon aurolineatum,121891.077,5.757949200949821
Haemulon plumierii,93382.017,4.411224540810585
Scarus iseri,86022.253,4.063560476418248
Hypoatherina harringtonensis,81552,3.8523925195595723
Halichoeres bivittatus,70796.85,3.3443355815722624
Ocyurus chrysurus,61990.016,2.9283141299511746
Sparisoma aurofrenatum,51623.344,2.438608302190633
Haemulon flavolineatum,49123.355,2.3205126218568437
Haemulon sciurus,47394.523,2.238845226031171
Halichoeres garnoti,41785.103,1.9738647516458974
Acanthurus bahianus,39518.146,1.8667771487794662
Atherinomorus stipes,39112,1.8475914290883604
Halichoeres maculipinna,38041.153,1.7970062445141894
Abudefduf saxatilis,37482.122,1.7705984698109092
Caranx ruber,36492.828,1.7238657249947775
Acanthurus coeruleus,35927.047,1.697139090551613
Chromis multilineata,31940.701,1.5088301648259876
Clepticus parrae,30619.394,1.4464136305553175
Lutjanus griseus,24399.732,1.1526062516683626
Acanthurus chirurgus,21178.599,1.0004448249258366
Coryphopterus glaucofraenum,19818.92,0.9362156557012653
Chromis cyanea,19033.917,0.8991333071993056
Sparisoma viride,17886.614,0.8449364573995674
Haemulon chrysargyreum,13969.038,0.6598761219423608
Kyphosus sectatrix,13524.229,0.6388640208996791
Decapterus punctatus,13272.167,0.6269569951582475
Lutjanus apodus,13104.794,0.6190505490480818
Sparisoma atomarium,11957.69,0.56486309970586
Lachnolaimus maximus,11209.18,0.5295046250539137
Anisotremus virginicus,11127.184,0.5256312586492417
Stegastes variabilis,10451.998,0.49373649830355604
Chaetodon capistratus,7900.898,0.37322641201936413
Decapterus macarellus,7709.333,0.3641771726014537
Harengula jaguana,7665.5,0.36210656830836646
Haemulon melanurum,7632.576,0.3605512885934118
Canthigaster rostrata,7442.252,0.35156067212916015
Pomacanthus arcuatus,7430.86,0.3510225313651957
Mulloidichthys martinicus,6453.743,0.304865009519815
Pseudupeneus maculatus,5939.668,0.2805808879226428
Chaetodon ocellatus,5817.287,0.27479979550386435
Anchoa lyolepis,5726,0.27048753638167194
Chromis scotti,5513.751,0.2604612162437967
Sparisoma chrysopterum,5504.748,0.2600359282085113
Scarus taeniopterus,5429.701,0.25649082200124007
Stegastes planifrons,5211.997,0.2462068159550585
Lutjanus synagris,5035.583,0.2378732867473679
Sparisoma rubripinne,4896.789,0.2313168691566313
Calamus calamus,4841.421,0.2287013689969421
Stegastes adustus,4819.527,0.2276671297161981
Chaetodon sedentarius,4501.252,0.21263230249966356
Elacatinus oceanops,4425.581,0.20905771948088298
Holacanthus tricolor,4394.818,0.20760452212117128
Haemulon carbonarium,4379.583,0.20688484387863287
Xyrichtys splendens,4378.869,0.20685111560392513
Cephalopholis cruentata,4308.325,0.20351872427201656
Microspathodon chrysurus,4134.62,0.19531316410659944
Hypoplectrus unicolor,3981.999,0.18810358005314026
Serranus tigrinus,3970,0.18753676553182633
Caranx crysos,3938.417,0.18604483261852867
Halichoeres radiatus,3904.406,0.18443820467583272
Chromis insolata,3586.25,0.16940899883841615
