YEAR,PRIMARY_SAMPLE_UNIT,protected_status,psu_richness,psu_simpson,psu_shannon
1999,001U,0,0,Inf,1.0
1999,001U,0,16,16.0,15.999999999999998
1999,001U,0,7,5.400000000000002,6.240251469155713
1999,001U,0,1,1.0,1.0
1999,001U,0,6,5.3650793650793664,5.668328067944657
1999,001U,0,1,1.0,1.0
1999,001U,0,1,1.0,1.0
1999,001U,0,3,2.0,2.381101577952299
1999,001U,0,2,1.8823529411764706,1.9378192408783848
1999,001U,0,1,1.0,1.0
1999,001U,0,1,1.0,1.0
1999,001U,0,1,1.0,1.0
1999,001U,0,1,1.0,1.0
1999,001U,0,1,1.0,1.0
1999,001U,0,1,1.0,1.0
1999,001U,0,1,1.0,1.0
1999,001U,0,1,1.0,1.0
1999,001U,0,2,1.8823529411764706,1.9378192408783848
1999,001U,0,1,1.0,1.0
1999,001U,0,1,1.0,1.0
1999,002U,0,0,Inf,1.0
1999,002U,0,13,12.250000000000004,12.680131299694697
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,2,2.0,2.0
1999,002U,0,2,1.8002400319775753,1.8900271282389565
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,5,4.999999999999998,5.000000000000001
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,002U,0,1,1.0,1.0
1999,003U,0,0,Inf,1.0
1999,003U,0,13,13.000000000000009,13.000000000000005
1999,003U,0,9,7.736842105263163,8.441928663992716
1999,003U,0,5,4.898305084745762,4.94917678449351
1999,003U,0,1,1.0,1.0
1999,003U,0,2,1.6896551724137931,1.8189685116531733
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,003U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,008U,0,12,11.999999999999995,12.0
1999,008U,0,8,4.8999999999999995,6.226666741645772
1999,008U,0,4,3.5217391304347823,3.7447645299419925
1999,008U,0,3,2.272727272727273,2.586409289858933
1999,008U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,008U,0,2,1.8823529411764706,1.9378192408783848
1999,008U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,008U,0,2,2.0,2.0
1999,008U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,008U,0,1,1.0,1.0
1999,009U,0,0,Inf,1.0
