YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,DRY TORT,ANC LYOL,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,ATH STIP,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,CHR ATHE,6111.549814728781,37347985.36300402,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAR HUME,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HAR JAGU,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HEM BRAS,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,HYP HARR,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,INE VITT,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,JEN SPE.,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SAR AURI,0.0,0.0,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,ATH STIP,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,INE VITT,0.0,0.0,22,44,1373.0,310783.6257638006,0
2004,DRY TORT,ANC LYOL,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,ATH STIP,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,CHR ATHE,2025.2699191109018,4421234.401510349,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAR HUME,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HAR JAGU,14153062.728845596,200853358459450.22,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HEM BRAS,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,HYP HARR,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,INE VITT,0.0,0.0,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,JEN SPE.,4245918.8186536785,18076802261350.52,50,92,1441.0,326175.6771490434,0
2004,DRY TORT,SAR AURI,0.0,0.0,50,92,1441.0,326175.6771490434,0
2006,DRY TORT,ANC LYOL,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,ATH STIP,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,CHR ATHE,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAR HUME,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HAR JAGU,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HEM BRAS,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,HYP HARR,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,INE VITT,194125.7056734238,32151034392.02213,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,JEN SPE.,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,SAR AURI,0.0,0.0,35,68,1398.0,316442.46818484575,0
2008,DRY TORT,ANC LYOL,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,ATH STIP,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,CHR ATHE,8745.483741615259,76264848.78131646,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HAR HUME,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HAR JAGU,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HEM BRAS,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,HYP HARR,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,INE VITT,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,JEN SPE.,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,SAR AURI,0.0,0.0,49,98,1441.0,326175.6771490434,0
2010,DRY TORT,ANC LYOL,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,ATH STIP,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,CHR ATHE,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,HAR HUME,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,HAR JAGU,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,HEM BRAS,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,HYP HARR,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,INE VITT,240.5008028944196,59087.9591807485,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,JEN SPE.,304162.78013117774,92362915427.06158,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,SAR AURI,0.0,0.0,51,100,1441.0,326175.6771490434,0
2012,DRY TORT,ANC LYOL,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,ATH STIP,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,CHR ATHE,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,HAR HUME,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,HAR JAGU,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,HEM BRAS,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,HYP HARR,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,INE VITT,36348.631151180125,843373832.1297268,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,JEN SPE.,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,SAR AURI,0.0,0.0,57,112,1441.0,326175.6771490434,0
2014,DRY TORT,ANC LYOL,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,ATH STIP,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,CHR ATHE,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,HAR HUME,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,HAR JAGU,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,HEM BRAS,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,HYP HARR,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,INE VITT,54064.58049066553,1313143177.3032374,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,JEN SPE.,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,SAR AURI,0.0,0.0,47,94,5762.0,326062.50030062255,0
2016,DRY TORT,INE VITT,0.0,0.0,22,43,5591.0,316385.8797606353,0
