YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
1999,DRY TORT,PTE VOLI,0.0,0.0,24,48,1441.0,326175.6771490434,0
2004,DRY TORT,PTE VOLI,0.0,0.0,50,92,1441.0,326175.6771490434,0
2006,DRY TORT,PTE VOLI,0.0,0.0,35,68,1398.0,316442.46818484575,0
2008,DRY TORT,PTE VOLI,0.0,0.0,49,98,1441.0,326175.6771490434,0
2010,DRY TORT,PTE VOLI,0.0,0.0,51,100,1441.0,326175.6771490434,0
2012,DRY TORT,PTE VOLI,0.07019623718097001,0.0018072441373626995,57,112,1441.0,326175.6771490434,0
2014,DRY TORT,PTE VOLI,0.0689394216189554,0.0012600656711281768,47,94,5762.0,326062.50030062255,0
2016,DRY TORT,PTE VOLI,0.0021457196049351553,2.0778701167377886e-6,22,43,5591.0,316385.8797606353,0
1999,DRY TORT,PTE VOLI,0.0,0.0,68,128,1942.0,439578.8792667886,1
2004,DRY TORT,PTE VOLI,0.0,0.0,61,122,1942.0,439578.8792667886,1
2006,DRY TORT,PTE VOLI,0.0,0.0,63,118,1942.0,439578.8792667886,1
2008,DRY TORT,PTE VOLI,0.0,0.0,76,150,1942.0,439578.8792667886,1
2010,DRY TORT,PTE VOLI,0.0,0.0,85,162,1942.0,439578.8792667886,1
2012,DRY TORT,PTE VOLI,0.04655763006303686,1.4714517560323695e-4,91,176,1942.0,439578.8792667886,1
2014,DRY TORT,PTE VOLI,0.020692529485381913,4.099707014654036e-5,73,146,7763.0,439295.93714573636,1
2016,DRY TORT,PTE VOLI,0.003522627057343018,1.919068161961449e-6,71,136,7763.0,439295.93714573636,1
1999,DRY TORT,PTE VOLI,0.0,0.0,78,151,4394.0,994598.1439228987,2
2004,DRY TORT,PTE VOLI,0.0,0.0,199,362,4394.0,994598.1439228987,2
2006,DRY TORT,PTE VOLI,0.0,0.0,155,298,4394.0,994598.1439228987,2
2008,DRY TORT,PTE VOLI,0.0,0.0,213,405,4394.0,994598.1439228987,2
2010,DRY TORT,PTE VOLI,0.011315935872148889,1.0890872834074925e-4,228,441,4394.0,994598.1439228987,2
2012,DRY TORT,PTE VOLI,0.026646478661167414,4.921244305112332e-5,268,525,4394.0,994598.1439228987,2
2014,DRY TORT,PTE VOLI,0.04935383230052383,1.8607155574443184e-4,238,464,17567.0,994088.8481050046,2
2016,DRY TORT,PTE VOLI,0.01579972252030807,2.2019791648674593e-5,193,365,17567.0,994088.8481050046,2
1999,DRY TORT,PTE VOLI,0.0,0.0,170,327,7777.0,1760352.7003387308,all
2004,DRY TORT,PTE VOLI,0.0,0.0,310,576,7777.0,1760352.7003387308,all
2006,DRY TORT,PTE VOLI,0.0,0.0,253,484,7734.0,1750619.491374533,all
2008,DRY TORT,PTE VOLI,0.0,0.0,338,653,7777.0,1760352.7003387308,all
2010,DRY TORT,PTE VOLI,0.0063934964925063936,3.476630968229652e-5,364,703,7777.0,1760352.7003387308,all
2012,DRY TORT,PTE VOLI,0.03968783883211585,8.6932078012574e-5,416,813,7777.0,1760352.7003387308,all
2014,DRY TORT,PTE VOLI,0.045827345483942586,1.0523008333502805e-4,358,704,31092.0,1759447.2855513636,all
2016,DRY TORT,PTE VOLI,0.010204024048759875,7.220279436395536e-6,286,544,30921.0,1749770.6650113764,all
