YEAR,protected_status,richness,simpson,shannon
1999,0,61,5.75211406974465,10.143941570801617
2000,0,54,6.199376991937937,9.888724220892898
2004,0,77,7.502132800687149,13.172349774366687
2006,0,71,8.240339438617756,12.245141820980603
2008,0,89,7.264052712050057,12.306715774348174
2010,0,75,7.960327891749266,12.449199311157075
2012,0,82,7.783092795422222,11.412595909487218
2014,0,85,6.85093721506164,10.95920031667883
2016,0,71,7.672536284788596,13.022611591921311
1999,1,73,7.866569907583346,12.470238993101823
2000,1,65,7.005474101711967,11.759829331912032
2004,1,70,7.206194038811555,10.380083411372075
2006,1,73,9.741758878839047,13.79279383640988
2008,1,78,7.600523678568016,11.632991474248122
2010,1,74,7.201824182862107,11.478516016380764
2012,1,78,10.090505983982894,14.543793556020361
2014,1,79,4.886034142479104,8.936322612655509
2016,1,70,8.397874443445732,12.845640383492421
1999,2,67,8.801898173611187,14.143379669909235
2000,2,74,8.553513226622766,13.226838399293467
2004,2,91,8.298080595185162,12.966306937944694
2006,2,89,7.906421852069212,12.41148853302635
2008,2,93,8.445624534762887,13.9558565763451
2010,2,88,8.114810046858482,12.53222542614979
2012,2,100,7.029054021722202,12.429926057007414
2014,2,96,9.125744974817897,13.778217232006355
2016,2,92,9.087642695946974,14.428762016556119
1999,all,85,8.64154581412987,14.140136001902562
2000,all,80,8.697165868502207,13.701138371031703
2004,all,98,8.647981274447206,13.44093773679364
2006,all,102,9.016513369349612,13.669573855482039
2008,all,104,8.804092671907602,13.862941003464934
2010,all,98,8.66640416079109,13.148538580823843
2012,all,111,8.805608879524799,13.787874955850471
2014,all,109,7.478660028235249,12.16551121637933
2016,all,102,9.324557233371948,14.526474069719644
